Statistic,High,Opponent
INNINGS PITCHED,11.0,Washington U. (3/29/2014)
RUNS ALLOWED,19.0,Illinois College (4/20/2014)
EARNED RUNS,19.0,Illinois College (4/20/2014)
WALKS ALLOWED,7.0,St. Norbert (3/30/2014); Cornell College (5/9/2014)
STRIKEOUTS,16.0,Illinois College (4/19/2014)
HITS ALLOWED,21.0,Illinois College (4/20/2014)
DOUBLES ALLOWED,7.0,Illinois College (4/20/2014)
TRIPLES ALLOWED,2.0,Illinois College (4/19/2014)
HOME RUNS ALLOWED,2.0,Central College (3/9/2014); Central College (3/9/2014); Coe College (4/15/2014)
WILD PITCHES,3.0,Cornell College (5/4/2014)
HIT BATTERS,4.0,Cornell College (5/3/2014)
