Statistic,High,Opponent
PUTOUTS,33,Washington U. (3/29/2014)
ASSISTS,19,Ripon College (5/10/2014)
ERRORS,5,Clarkson University (3/17/2014); St. Norbert (3/29/2014); Monmouth College (4/10/2014); Illinois College (4/19/2014)
PASSED BALLS,2,Illinois College (4/20/2014)
DPS TURNED,4,St. Norbert (5/9/2014)
