Statistic,High,Opponent
AT BATS,45,Washington U. (3/29/2014)
RUNS SCORED,18,Knox College (4/30/2014)
HITS,18,Knox College (4/30/2014)
RBIS,16,Knox College (4/30/2014)
DOUBLES,6,Illinois College (4/19/2014)
TRIPLES,2,Illinois College (4/20/2014)
HOME RUNS,2,Central College (3/9/2014)
WALKS,12,Vassar College (3/16/2014)
STRIKEOUTS,10,St. Norbert (3/29/2014); Knox College (4/26/2014)
SAC HITS,4,Knox College (4/30/2014)
SAC FLIES,2,Knox College (4/30/2014)
STOLEN BASES,5,Vassar College (3/16/2014)
HIT BY PITCH,4,Simpson College (4/2/2014); Illinois College (4/20/2014)
CAUGHT STEALING,2,Monmouth College (4/12/2014); Washington U. (3/30/2014); Illinois College (4/19/2014)
HIT INTO DP,2,Vassar College (3/16/2014); Univ. of St. Thomas (3/23/2014); Coe College (4/15/2014); Cornell College (5/4/2014); Washington U. (3/30/2014)
