#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
36.0,"Hammond, Matt 36 Hammond, Matt",0.568,1.392,12-8,37,8,21,6,0,1,21,30,0.811,2,2,3,0,0.581,2,0,1-1,View Bio
17.0,"Mack, Anthony 17Mack, Anthony",0.46,1.178,16-16,63,22,29,4,1,2,12,41,0.651,8,2,6,1,0.527,1,1,8-9,View Bio
22.0,"Beecher, Jacob 22Beecher, Jacob",0.388,0.836,13-12,49,7,19,2,0,0,13,21,0.429,2,1,7,1,0.407,2,2,3-6,View Bio
26.0,"Godinsky, Matt 26Godinsky, Matt",0.333,0.959,14-14,54,13,18,3,1,2,14,29,0.537,4,5,7,1,0.422,1,0,1-1,View Bio
31.0,"Takayesu, Niko 31 Takayesu, Niko",0.328,0.866,16-16,61,20,20,2,1,1,9,27,0.443,12,1,5,1,0.423,4,1,4-4,View Bio
5.0,"Bell, Walker 5Bell, Walker",0.309,0.753,14-14,55,9,17,1,0,1,7,21,0.382,5,1,12,1,0.371,1,1,0-1,View Bio
32.0,"Towner, Teague 32 Towner, Teague",0.286,0.748,15-15,56,6,16,1,1,1,7,22,0.393,5,1,9,0,0.355,0,3,1-1,View Bio
29.0,"Penaflor, Ryan 29Penaflor, Ryan",0.277,0.685,16-16,65,12,18,4,0,0,15,22,0.338,3,4,5,1,0.347,0,5,0-0,View Bio
12.0,"Inafuku, Kainoa 12Inafuku, Kainoa",0.241,0.614,16-16,58,9,14,2,0,0,11,16,0.276,8,1,2,0,0.338,1,1,8-8,View Bio
18.0,"Petritis, Steven 18Petritis, Steven",0.2,0.533,8-1,5,4,1,0,0,0,0,1,0.2,1,0,2,0,0.333,0,0,3-3,View Bio
11.0,11  1111,0.143,0.476,6-2,7,0,1,0,0,0,0,1,0.143,2,0,3,0,0.333,0,1,0-0,
24.0,"Schaeffer, Matt 24Schaeffer, Matt",0.13,0.416,10-8,23,0,3,0,0,0,1,3,0.13,5,0,4,0,0.286,0,1,0-0,View Bio
3.0,"Kawahara, Yuki 3Kawahara, Yuki",0.0,0.182,10-3,9,6,0,0,0,0,0,0,0.0,2,0,2,0,0.182,0,0,3-4,View Bio
25.0,"Tremblay, Colin 25Tremblay, Colin",0.0,0.0,2-1,5,0,0,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,0-0,View Bio
16.0,"Voelker, Ross 16Voelker, Ross",0.0,0.2,3-1,4,0,0,0,0,0,0,0,0.0,1,0,2,0,0.2,0,0,0-0,View Bio
6.0,"Renfro, Adam 6Renfro, Adam",0.0,0.0,3-1,4,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
8.0,"Freese, Eli 8Freese, Eli",0.0,0.0,3-0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
13.0,"Klar, Coby 13Klar, Coby",0.0,1.0,1-0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1.0,0,0,0-0,View Bio
37.0,"Monigal, Conor 37 Monigal, Conor",0.0,1.0,1-0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1.0,0,0,0-0,View Bio
,Totals,0.318,0.818,16-16,556,116,177,25,4,8,110,234,0.421,61,19,73,6,0.397,12,16,32-38,
,Opponents,0.265,0.683,16-16,551,79,146,29,3,5,73,196,0.356,36,17,117,5,0.327,5,13,8-14,
