#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
28.0,"Tinkham, Sam 28Tinkham, Sam",2.03,1.29,6-1,11-9,2,0-0,0,62.0,52,25,14,28,62,4,2,1,235,0.221,3,2,0,2,2,View Bio
10.0,"Fisher, Graham 10Fisher, Graham",2.72,1.33,7-2,9-9,1,0-0,0,56.1,54,22,17,21,34,11,1,3,212,0.255,7,4,1,0,3,View Bio
27.0,"Kelley, Andrew 27Kelley, Andrew",4.1,1.14,5-1,17-2,0,0-0,6,48.1,51,25,22,4,48,12,0,1,196,0.26,1,5,1,2,5,View Bio
23.0,"Pahos, Will 23Pahos, Will",4.83,1.39,2-5,10-10,0,0-0,0,54.0,65,41,29,10,35,11,3,2,226,0.288,3,7,1,0,6,View Bio
7.0,"Essig, John 7Essig, John",7.29,1.95,1-5,9-7,1,0-0,0,42.0,64,40,34,18,19,13,0,0,179,0.358,2,4,1,5,5,View Bio
2.0,"Brown, Ryan 2Brown, Ryan",0.0,0.0,0-0,1-0,0,0-0,0,0.0,0,1,0,0,0,0,0,0,1,0.0,0,1,0,0,0,View Bio
4.0,"Annerino, Michael 4Annerino, Michael",5.82,1.35,0-0,13-0,0,0-0,0,17.0,18,14,11,5,16,2,0,3,70,0.257,3,3,1,1,0,View Bio
9.0,"Sales, Ian 9Sales, Ian",7.11,1.58,0-0,6-0,0,0-0,1,6.1,9,6,5,1,7,3,0,0,27,0.333,1,0,0,0,2,View Bio
34.0,"Zornes, Fletcher 34 Zornes, Fletcher",8.0,2.44,0-1,7-1,0,0-0,0,9.0,19,16,8,3,5,4,2,1,46,0.413,1,0,0,0,3,View Bio
30.0,"Goetz, TJ 30Goetz, TJ",9.0,3.0,0-0,1-0,0,0-0,0,1.0,0,1,1,3,0,0,0,0,3,0.0,2,0,0,0,0,View Bio
35.0,"Mathews, Noah 35 Mathews, Noah",9.64,2.14,0-0,3-0,0,0-0,0,4.2,7,5,5,3,1,0,0,2,20,0.35,1,1,0,0,0,View Bio
8.0,"Freese, Eli 8Freese, Eli",9.72,2.28,0-1,8-0,0,0-0,1,8.1,12,9,9,7,7,1,1,0,36,0.333,1,2,0,1,0,View Bio
19.0,"Jacobson, Max 19Jacobson, Max",11.37,2.68,0-1,6-0,0,0-0,0,6.1,13,11,8,4,4,2,1,2,32,0.406,2,0,0,0,0,View Bio
,Totals,4.65,1.49,21-17,101-38,4,0,8,315.1,364,216,163,107,238,63,10,15,1283,0.284,27,29,5,11,26,
,Opponents,5.43,1.53,17-21,110-38,3,1,3,313.0,341,224,189,139,189,58,8,16,1237,0.276,32,44,0,19,28,
