#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
34.0,"Zornes, Fletcher 34 Zornes, Fletcher",0.0,0.0,0-0,1-0,0,0-0,0,1.0,0,0,0,0,1,0,0,0,3,0.0,0,0,0,0,0,View Bio
9.0,"Sales, Ian 9Sales, Ian",0.0,0.63,0-0,3-0,0,0-0,1,3.2,2,1,0,0,5,1,0,0,14,0.143,0,0,0,0,1,View Bio
28.0,"Tinkham, Sam 28Tinkham, Sam",1.1,1.02,4-0,5-4,2,0-0,0,32.2,21,5,4,12,38,4,0,0,118,0.178,2,1,0,0,0,View Bio
4.0,"Annerino, Michael 4Annerino, Michael",1.29,0.86,0-0,6-0,0,0-0,0,7.0,4,1,1,2,6,0,0,0,27,0.148,1,0,0,0,0,View Bio
10.0,"Fisher, Graham 10Fisher, Graham",2.89,1.25,4-0,4-4,0,0-0,0,28.0,31,12,9,4,16,3,0,2,109,0.284,4,2,1,0,2,View Bio
27.0,"Kelley, Andrew 27Kelley, Andrew",5.24,0.95,2-0,7-1,0,0-0,3,22.1,21,15,13,0,24,6,0,1,91,0.231,0,4,0,1,3,View Bio
23.0,"Pahos, Will 23Pahos, Will",6.17,1.6,1-2,4-4,0,0-0,0,23.1,32,18,16,5,18,7,2,1,100,0.32,1,5,1,0,5,View Bio
19.0,"Jacobson, Max 19Jacobson, Max",6.75,1.82,0-0,2-0,0,0-0,0,1.1,1,1,1,1,1,0,0,1,5,0.2,1,0,0,0,0,View Bio
30.0,"Goetz, TJ 30Goetz, TJ",9.0,3.0,0-0,1-0,0,0-0,0,1.0,0,1,1,3,0,0,0,0,3,0.0,2,0,0,0,0,View Bio
7.0,"Essig, John 7Essig, John",9.92,1.99,1-1,4-3,0,0-0,0,16.1,27,18,18,5,7,7,0,0,68,0.397,2,4,0,3,2,View Bio
8.0,"Freese, Eli 8Freese, Eli",27.0,5.24,0-1,2-0,0,0-0,0,2.1,7,7,7,4,1,1,1,0,13,0.538,0,1,0,1,0,View Bio
,Totals,4.53,1.31,12-4,39-16,2,0,4,139.0,146,79,70,36,117,29,3,5,551,0.265,13,17,2,5,13,
,Opponents,6.82,1.75,4-12,50-16,0,0,0,136.0,177,116,103,61,73,25,4,8,556,0.318,15,19,0,12,16,
