#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
36.0,"Hammond, Matt 36 Hammond, Matt",158,147,11,0,1.0,0,8,6,8,0,View Bio
29.0,"Penaflor, Ryan 29 Penaflor, Ryan",34,29,5,0,1.0,0,0,0,0,0,View Bio
18.0,"Petritis, Steven 18 Petritis, Steven",29,28,1,0,1.0,0,0,0,0,0,View Bio
10.0,"Fisher, Graham 10 Fisher, Graham",20,4,16,0,1.0,0,4,2,0,0,View Bio
16.0,"Voelker, Ross 16 Voelker, Ross",11,6,5,0,1.0,0,0,0,0,0,View Bio
6.0,"Renfro, Adam 6 Renfro, Adam",6,5,1,0,1.0,0,0,0,0,0,View Bio
4.0,"Annerino, Michael 4 Annerino, Michael",3,0,3,0,1.0,0,2,1,0,0,View Bio
13.0,"Klar, Coby 13 Klar, Coby",2,1,1,0,1.0,0,0,0,0,0,View Bio
22.0,"Beecher, Jacob 22 Beecher, Jacob",2,2,0,0,1.0,0,0,0,0,0,View Bio
35.0,"Mathews, Noah 35 Mathews, Noah",2,0,2,0,1.0,0,2,1,0,0,View Bio
9.0,"Sales, Ian 9 Sales, Ian",1,0,1,0,1.0,0,3,0,0,0,View Bio
5.0,"Bell, Walker 5 Bell, Walker",311,293,14,4,0.987,24,0,0,0,0,View Bio
24.0,"Schaeffer, Matt 24 Schaeffer, Matt",118,103,13,2,0.983,0,12,4,3,0,View Bio
26.0,"Godinsky, Matt 26 Godinsky, Matt",51,46,4,1,0.98,0,0,0,0,0,View Bio
11.0,11  11 11,74,70,2,2,0.973,4,0,0,0,0,
31.0,"Takayesu, Niko 31 Takayesu, Niko",212,74,132,6,0.972,24,0,0,0,0,View Bio
17.0,"Mack, Anthony 17 Mack, Anthony",96,57,32,7,0.927,4,0,0,0,0,View Bio
27.0,"Kelley, Andrew 27 Kelley, Andrew",13,3,9,1,0.923,0,0,0,0,0,View Bio
12.0,"Inafuku, Kainoa 12 Inafuku, Kainoa",141,30,98,13,0.908,3,0,0,0,0,View Bio
7.0,"Essig, John 7 Essig, John",8,2,5,1,0.875,1,2,1,0,0,View Bio
23.0,"Pahos, Will 23 Pahos, Will",23,5,14,4,0.826,0,1,2,0,0,View Bio
32.0,"Towner, Teague 32 Towner, Teague",143,39,77,27,0.811,19,0,0,0,0,View Bio
28.0,"Tinkham, Sam 28 Tinkham, Sam",15,2,10,3,0.8,0,2,3,0,0,View Bio
19.0,"Jacobson, Max 19 Jacobson, Max",2,0,1,1,0.5,0,0,0,0,0,View Bio
3.0,"Kawahara, Yuki 3 Kawahara, Yuki",2,0,1,1,0.5,0,0,0,0,0,View Bio
34.0,"Zornes, Fletcher 34 Zornes, Fletcher",2,0,1,1,0.5,0,2,0,0,0,View Bio
2.0,"Brown, Ryan 2 Brown, Ryan",1,0,0,1,0.0,0,0,0,0,0,View Bio
25.0,"Tremblay, Colin 25 Tremblay, Colin",0,0,0,0,0.0,0,0,0,0,0,View Bio
30.0,"Goetz, TJ 30 Goetz, TJ",0,0,0,0,0.0,0,0,0,0,0,View Bio
37.0,"Monigal, Conor 37 Monigal, Conor",0,0,0,0,0.0,0,0,0,0,0,View Bio
8.0,"Freese, Eli 8 Freese, Eli",0,0,0,0,0.0,0,2,0,0,0,View Bio
,Totals,1480,946,459,75,0.949,29,40,20,11,0,
,Opponents,1344,939,344,61,0.955,23,122,21,10,1,
