Statistic,High,Player,Opponent
AT BATS,7,Niko Takayesu,Illinois College (4/20/2014)
RUNS SCORED,3,Kainoa Inafuku; Anthony Mack; Niko Takayesu; Matt Godinsky,Central College (3/9/2014); Monmouth College (4/12/2014); Illinois College (4/20/2014); Cornell College (5/4/2014); Knox College (4/30/2014)
HITS,5,Niko Takayesu,Illinois College (4/20/2014)
RBIS,5,Anthony Mack,Vassar College (3/16/2014)
DOUBLES,2,Teague Towner; Matt Godinsky; Matt Hammond,St. Norbert (5/9/2014); Central College (3/8/2014); Illinois College (4/19/2014)
TRIPLES,1,Niko Takayesu; Anthony Mack; Kawahara; Teague Towner,Central College (3/9/2014); Vassar College (3/16/2014); St. Norbert (3/29/2014); Monmouth College (4/12/2014); Illinois College (4/20/2014)
HOME RUNS,1,Kainoa Inafuku; Eli Freese; Anthony Mack; Matt Godinsky,Central College (3/9/2014); Central College (3/9/2014); St. Olaf College (3/22/2014); Monmouth College (4/12/2014); Monmouth College (4/12/2014)
WALKS,3,Anthony Mack; Niko Takayesu,Illinois College (4/20/2014); Knox College (4/30/2014)
STRIKEOUTS,4,Walker Bell,Knox College (4/26/2014)
SAC HITS,1,Niko Takayesu; Ryan Penaflor; Teague Towner; Matt Schaeffer,Central College (3/9/2014); Central College (3/9/2014); St. Olaf College (3/22/2014); Simpson College (4/2/2014); Monmouth College (4/12/2014)
SAC FLIES,1,Anthony Mack; Kainoa Inafuku; Matt Hammond; Penaflor; Matt Godinsky,Central College (3/9/2014); Vassar College (3/16/2014); St. Olaf College (3/22/2014); St. Norbert (3/29/2014); Monmouth College (4/12/2014)
STOLEN BASES,2,Anthony Mack; Niko Takayesu; Kainoa Inafuku; Yuki Kawahara; Mack,Simpson College (4/2/2014); Illinois College (4/20/2014); Knox College (4/26/2014); Amherst College (3/20/2014); Washington U. (3/29/2014)
HIT BY PITCH,2,Niko Takayesu; Matt Godinsky,Simpson College (4/2/2014); Cornell College (5/4/2014)
CAUGHT STEALING,1,Ryan Penaflor; Kainoa Inafuku; Teague Towner; Yuki Kawahara; Jacob Beecher,Central College (3/9/2014); Clarkson University (3/17/2014); Simpson College (4/2/2014); Monmouth College (4/12/2014); Cornell College (5/4/2014)
HIT INTO DP,2,Niko Takayesu,St. Norbert (5/10/2014)
