Statistic,High,Player,Opponent
INNINGS PITCHED,9.0,Sam Tinkham,Knox College (4/26/2014); Illinois College (4/19/2014)
RUNS ALLOWED,11.0,Andrew Kelley,Illinois College (4/20/2014)
EARNED RUNS,11.0,Andrew Kelley,Illinois College (4/20/2014)
WALKS ALLOWED,7.0,Sam Tinkham,Cornell College (5/9/2014)
STRIKEOUTS,16.0,Sam Tinkham,Illinois College (4/19/2014)
HITS ALLOWED,15.0,Andrew Kelley,Illinois College (4/20/2014)
DOUBLES ALLOWED,5.0,Andrew Kelley,Illinois College (4/20/2014)
TRIPLES ALLOWED,2.0,Will Pahos,Illinois College (4/19/2014)
HOME RUNS ALLOWED,1.0,Graham Fisher; Sam Tinkham; Noah Mathews; Pahos; Max Jacobson,Central College (3/9/2014); Central College (3/9/2014); Ripon College (3/21/2014); St. Norbert (3/29/2014); Monmouth College (4/12/2014)
WILD PITCHES,2.0,Graham Fisher; TJ Goetz; Will Pahos; Sam Tinkham,Cornell College (5/4/2014); Cornell College (5/4/2014); St. Norbert (5/9/2014); Ripon College (5/10/2014); Cornell College (5/3/2014)
HIT BATTERS,3.0,Will Pahos,Cornell College (5/3/2014)
