Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
3/8/2014,vs,Central College,W,3-1,31,3,5,2,2,0,1,3,0,1,0,0,2,0,0,4,27,15,0,0.161
3/9/2014,vs,Central College,W,12-8,25,12,10,11,4,1,1,8,0,1,1,1,1,1,0,3,21,8,2,0.4
3/9/2014,vs,Central College,L,6-13,28,6,8,6,1,0,2,2,0,0,0,3,1,0,1,7,21,12,1,0.286
3/16/2014,vs,Vassar College,W,13-4,31,13,9,9,1,1,0,12,0,5,0,2,0,1,2,5,27,11,1,0.29
3/17/2014,vs,Clarkson University,W,5-4,28,5,10,4,1,0,0,7,0,0,1,1,0,0,0,7,21,10,5,0.357
3/17/2014,vs,Clarkson University,L,3-4,31,3,9,3,0,0,1,0,0,0,0,0,0,0,0,5,19,12,0,0.29
3/20/2014,vs,Amherst College,L,3-8,34,3,6,3,1,0,0,2,0,2,0,3,0,0,0,9,24,10,3,0.176
3/21/2014,vs,Ripon College,L,0-11,24,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,21,13,3,0.083
3/21/2014,vs,Ripon College,L,1-3,26,1,6,1,1,0,0,1,0,1,0,0,0,1,0,5,18,0,3,0.231
3/22/2014,vs,St. Olaf College,W,7-1,24,7,8,7,3,0,1,2,0,3,0,1,1,1,0,2,21,13,1,0.333
3/22/2014,vs,St. Olaf College,W,5-3,29,5,9,4,1,0,1,5,0,0,0,0,0,0,1,5,21,8,2,0.31
3/23/2014,vs,Univ. of St. Thomas,L,1-11,25,1,5,1,2,0,0,2,0,0,0,0,0,0,2,4,21,11,2,0.2
3/29/2014,vs,St. Norbert,L,11-15,41,11,10,11,1,1,0,6,0,1,0,1,0,1,0,10,27,14,5,0.244
3/29/2014,at,Washington U.,W,10-8,45,10,13,8,1,0,0,5,0,2,0,2,2,0,0,7,33,14,3,0.289
3/30/2014,vs,St. Norbert,L,1-6,29,1,3,1,1,0,0,1,0,1,0,0,2,0,0,5,24,9,2,0.103
3/30/2014,at,Washington U.,L,1-4,33,1,9,1,0,0,0,1,0,1,2,1,0,0,0,6,24,11,2,0.273
4/2/2014,,Simpson College,L,2-3,30,2,4,2,1,0,0,3,0,3,1,4,1,0,0,6,27,16,1,0.133
4/10/2014,at,Monmouth College,L,2-6,30,2,3,2,0,0,0,2,0,1,0,1,0,1,0,4,24,17,3,0.1
4/10/2014,at,Monmouth College,W,4-1,33,4,6,4,0,0,0,5,0,4,0,1,1,1,0,3,27,13,5,0.182
4/12/2014,,Monmouth College,W,8-7,34,8,12,8,3,0,1,3,0,0,2,1,2,0,0,6,27,16,1,0.353
4/12/2014,,Monmouth College,W,8-4,29,8,7,7,2,1,1,4,0,2,0,0,1,1,0,6,27,13,1,0.241
4/15/2014,,Coe College,L,3-7,31,3,5,0,1,0,0,5,0,3,0,3,0,0,2,5,27,9,2,0.161
4/19/2014,at,Illinois College,L,1-7,33,1,9,1,0,0,0,2,0,1,2,1,0,0,0,5,24,12,5,0.273
4/19/2014,at,Illinois College,W,9-2,40,9,15,9,6,0,1,4,0,1,0,1,1,1,0,1,27,8,0,0.375
4/20/2014,at,Illinois College,L,14-19,41,14,16,13,2,2,1,9,0,4,0,4,1,1,0,7,27,10,4,0.39
4/20/2014,at,Illinois College,W,5-2,30,5,7,5,1,0,1,4,0,2,0,0,1,1,0,4,27,14,2,0.233
4/26/2014,,Knox College,W,6-5,41,6,14,6,1,0,1,0,0,2,0,0,2,0,0,10,30,13,2,0.341
4/26/2014,,Knox College,W,3-2,34,3,12,3,2,0,0,0,0,3,0,1,1,1,0,5,27,13,2,0.353
4/30/2014,at,Knox College,W,18-4,39,18,18,16,2,0,0,8,0,3,0,3,4,1,0,2,24,11,0,0.462
4/30/2014,at,Knox College,W,9-5,34,9,12,9,1,0,0,2,0,4,0,0,0,2,0,3,21,13,0,0.353
5/3/2014,at,Cornell College,W,5-3,32,5,9,5,1,0,0,7,0,2,1,1,1,1,1,7,27,12,2,0.281
5/3/2014,at,Cornell College,W,10-1,41,10,16,10,3,0,1,5,0,0,0,2,0,0,2,1,27,10,3,0.39
5/4/2014,,Cornell College,W,12-2,36,12,17,10,1,1,1,3,0,1,1,1,0,1,2,3,24,16,1,0.472
5/4/2014,,Cornell College,L,2-9,29,2,4,2,0,0,0,3,0,2,0,2,1,0,1,6,27,12,0,0.138
5/9/2014,vs,St. Norbert,L,7-14,42,7,14,7,5,0,0,2,0,1,0,1,0,0,0,7,27,14,2,0.333
5/9/2014,vs,Cornell College,W,7-3,33,7,7,7,3,1,1,5,1,2,0,0,0,0,1,4,27,14,1,0.212
5/10/2014,at,Ripon College,W,4-2,30,4,5,3,2,0,0,4,0,1,0,0,1,1,0,2,27,19,1,0.167
5/10/2014,vs,St. Norbert,L,3-4,31,3,7,3,1,0,0,1,0,1,0,2,1,1,0,4,24,13,2,0.226
Total,,,,224-216,1237,224,341,204,58,8,16,139,1,61,11,44,28,19,15,189,946,459,75,
