Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
3/8/2014,vs,Central College,W,3-1,9.0,5,1,1,1,9,2,1,0,0,1,1,0,1,0,0,1.0
3/9/2014,vs,Central College,W,12-8,7.0,11,8,5,5,11,1,0,2,1,1,0,0,2,0,0,6.43
3/9/2014,vs,Central College,L,6-13,7.0,17,13,12,3,5,4,1,2,0,0,0,0,2,1,0,15.43
3/16/2014,vs,Vassar College,W,13-4,9.0,12,4,3,1,6,1,0,0,0,0,0,0,3,1,0,3.0
3/17/2014,vs,Clarkson University,W,5-4,7.0,3,4,1,3,5,0,0,0,1,0,0,0,4,1,0,1.29
3/17/2014,vs,Clarkson University,L,3-4,6.1,7,4,4,4,2,3,1,0,0,0,1,1,4,2,0,5.68
3/20/2014,vs,Amherst College,L,3-8,8.0,9,8,2,2,4,2,1,0,0,0,1,0,4,3,0,2.25
3/21/2014,vs,Ripon College,L,0-11,7.0,6,11,3,5,3,0,0,1,1,0,0,0,4,4,0,3.86
3/21/2014,vs,Ripon College,L,1-3,6.0,7,3,1,0,8,0,0,0,0,0,1,0,4,5,0,1.5
3/22/2014,vs,St. Olaf College,W,7-1,7.0,5,1,1,2,3,2,0,0,1,0,0,0,5,5,0,1.29
3/22/2014,vs,St. Olaf College,W,5-3,7.0,8,3,3,1,8,2,0,0,0,0,0,0,6,5,0,3.86
3/23/2014,vs,Univ. of St. Thomas,L,1-11,7.0,16,11,10,5,1,3,0,0,2,1,0,0,6,6,0,12.86
3/29/2014,vs,St. Norbert,L,11-15,9.0,18,15,7,2,8,3,1,1,1,0,1,0,6,7,0,7.0
3/29/2014,at,Washington U.,W,10-8,11.0,16,8,3,5,7,0,1,0,0,0,1,0,7,7,0,2.45
3/30/2014,vs,St. Norbert,L,1-6,8.0,10,6,5,7,9,1,0,1,0,0,3,0,7,8,0,5.63
3/30/2014,at,Washington U.,L,1-4,8.0,11,4,4,2,1,0,0,0,0,0,0,0,7,9,0,4.5
4/2/2014,,Simpson College,L,2-3,9.0,7,3,3,2,2,1,1,0,0,0,0,0,7,10,0,3.0
4/10/2014,at,Monmouth College,L,2-6,8.0,14,6,6,1,5,1,0,0,0,0,0,0,7,11,0,6.75
4/10/2014,at,Monmouth College,W,4-1,9.0,6,1,0,3,7,0,0,0,0,0,1,0,8,11,0,0.0
4/12/2014,,Monmouth College,W,8-7,9.0,13,7,6,2,8,2,0,1,1,0,0,0,9,11,0,6.0
4/12/2014,,Monmouth College,W,8-4,9.0,7,4,3,0,6,0,0,1,1,1,1,0,10,11,0,3.0
4/15/2014,,Coe College,L,3-7,9.0,12,7,6,3,5,2,0,2,1,0,1,0,10,12,0,6.0
4/19/2014,at,Illinois College,L,1-7,8.0,11,7,5,1,5,2,2,1,0,1,1,0,10,13,0,5.63
4/19/2014,at,Illinois College,W,9-2,9.0,7,2,2,2,16,3,0,0,0,0,1,0,11,13,0,2.0
4/20/2014,at,Illinois College,L,14-19,9.0,21,19,19,5,10,7,0,1,1,0,2,0,11,14,0,19.0
4/20/2014,at,Illinois College,W,5-2,9.0,9,2,1,1,6,1,0,0,1,0,1,0,12,14,0,1.0
4/26/2014,,Knox College,W,6-5,10.0,6,5,4,3,11,2,0,0,0,0,2,0,13,14,0,3.6
4/26/2014,,Knox College,W,3-2,9.0,4,2,2,4,4,1,0,0,0,0,0,0,14,14,0,2.0
4/30/2014,at,Knox College,W,18-4,8.0,10,4,4,2,6,0,0,1,0,0,0,0,15,14,0,4.5
4/30/2014,at,Knox College,W,9-5,7.0,9,5,5,3,2,2,0,0,1,0,2,0,16,14,0,6.43
5/3/2014,at,Cornell College,W,5-3,9.0,7,3,3,0,8,3,0,0,1,0,4,0,17,14,0,3.0
5/3/2014,at,Cornell College,W,10-1,9.0,5,1,0,3,13,0,0,0,2,0,0,0,18,14,0,0.0
5/4/2014,,Cornell College,W,12-2,8.0,6,2,1,1,6,2,0,0,2,0,0,0,19,14,0,1.13
5/4/2014,,Cornell College,L,2-9,9.0,11,9,9,5,4,3,1,0,3,0,2,0,19,15,0,9.0
5/9/2014,vs,St. Norbert,L,7-14,9.0,19,14,13,3,7,2,0,1,2,0,1,0,19,16,0,13.0
5/9/2014,vs,Cornell College,W,7-3,9.0,6,3,2,7,9,0,0,0,2,0,0,0,20,16,0,2.0
5/10/2014,at,Ripon College,W,4-2,9.0,6,2,1,5,5,3,0,0,2,0,1,0,21,16,0,1.0
5/10/2014,vs,St. Norbert,L,3-4,8.0,7,4,3,3,3,2,0,0,0,0,0,0,21,17,0,3.38
Total,,,,224-216,315.1,364,216,163,107,238,63,10,15,27,5,29,1,21,17,0,
