#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
17.0,"Mack, Anthony 17 Mack, Anthony",0.423,1.116,38-38,137,36,58,10,2,4,29,84,0.613,19,6,14,2,0.503,3,2,15-17,View Bio
26.0,"Godinsky, Matt 26 Godinsky, Matt",0.298,0.865,36-34,124,24,37,9,1,3,22,57,0.46,17,6,17,4,0.405,1,0,3-3,View Bio
29.0,"Penaflor, Ryan 29 Penaflor, Ryan",0.292,0.702,38-38,137,23,40,7,0,0,24,47,0.343,7,8,8,2,0.359,1,10,0-1,View Bio
5.0,"Bell, Walker 5 Bell, Walker",0.289,0.717,35-31,114,18,33,4,0,1,11,40,0.351,12,3,21,1,0.366,2,3,1-2,View Bio
31.0,"Takayesu, Niko 31 Takayesu, Niko",0.266,0.754,38-38,139,38,37,6,3,1,16,52,0.374,23,5,18,1,0.38,4,2,5-5,View Bio
32.0,"Towner, Teague 32 Towner, Teague",0.238,0.612,31-29,105,14,25,3,1,1,13,33,0.314,7,2,11,0,0.298,0,5,1-2,View Bio
12.0,"Inafuku, Kainoa 12 Inafuku, Kainoa",0.22,0.589,38-38,132,21,29,4,0,1,21,36,0.273,16,4,12,1,0.316,3,2,16-17,View Bio
22.0,"Beecher, Jacob 22 Beecher, Jacob",0.358,0.795,22-16,67,10,24,3,0,0,18,27,0.403,4,1,9,1,0.392,2,2,3-6,View Bio
36.0,"Hammond, Matt 36 Hammond, Matt",0.35,0.946,25-20,80,11,28,10,0,2,28,44,0.55,5,3,13,0,0.396,3,0,1-1,View Bio
8.0,"Freese, Eli 8 Freese, Eli",0.222,0.782,19-9,36,4,8,1,0,3,8,18,0.5,1,2,15,1,0.282,0,0,1-1,View Bio
24.0,"Schaeffer, Matt 24 Schaeffer, Matt",0.19,0.526,24-18,58,4,11,1,0,0,4,12,0.207,11,0,12,0,0.319,0,1,0-1,View Bio
18.0,"Petritis, Steven 18 Petritis, Steven",0.167,0.526,23-12,30,9,5,0,0,0,4,5,0.167,7,2,6,0,0.359,0,0,6-6,View Bio
,11  11,0.143,0.393,13-7,21,0,3,0,0,0,0,3,0.143,3,0,11,0,0.25,0,1,0-0,
3.0,"Kawahara, Yuki 3 Kawahara, Yuki",0.115,0.425,22-7,26,11,3,0,1,0,5,5,0.192,3,1,9,0,0.233,0,0,9-10,View Bio
6.0,"Renfro, Adam 6 Renfro, Adam",0.0,0.125,8-4,14,1,0,0,0,0,1,0,0.0,2,0,6,0,0.125,0,0,0-0,View Bio
25.0,"Tremblay, Colin 25 Tremblay, Colin",0.0,0.0,6-2,10,0,0,0,0,0,0,0,0.0,0,0,4,1,0.0,0,0,0-0,View Bio
16.0,"Voelker, Ross 16 Voelker, Ross",0.0,0.143,5-1,6,0,0,0,0,0,0,0,0.0,1,0,3,1,0.143,0,0,0-0,View Bio
37.0,"Monigal, Conor 37 Monigal, Conor",0.0,0.5,2-0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0.5,0,0,0-0,View Bio
13.0,"Klar, Coby 13 Klar, Coby",0.0,1.0,3-0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1.0,0,0,0-0,View Bio
,Totals,0.276,0.738,38-38,1237,224,341,58,8,16,204,463,0.374,139,44,189,15,0.364,19,28,61-72,
,Opponents,0.284,0.733,38-38,1283,216,364,63,10,15,195,492,0.383,107,29,238,22,0.35,11,26,20-30,
