0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
The Dual at Central,9/14/2015,1,68,-2,1st/34
Univ. of Dubuque Men's Invite,9/19-20/2015,2,74-78=152,+12,15th/63
Augustana Invitational,4/08-09/2016,2,-2-77=77,+7,
Pima Community College Dual,3/11/2016,1,84,+13,8th/10
Kirkwood Community College,3/28/2016,2,76-73=149,+5,t-12th/42
Simpson Spring Invitational,4/17-18/2016,2,76-77=153,+11,t-21st/65
Fighting Scot Invitational,4/23-24/2016,2,78-81=159,+17,t-26th/66
MWC Championship,4/28-30/2016,3,87-79-85=251,+35,t-26th/47
SEASON TOTALS,SEASON TOTALS,14,1093 Avg. 78.1,+7,-
