0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
The Dual at Central,9/14/2015,1,76,+6,t-10th/34
Univ. of Dubuque Men's Invite,9/19-20/2015,2,87-78=165,+25,t-37th/63
Augustana Invitational,4/08-09/2016,2,93-83=176,+34,t-115th/144
Pima Community College Dual,3/11/2016,1,78,+7,3rd/10
Kirkwood Community College,3/28/2016,2,84-78=162,+18,t-27th/42
Simpson Spring Invitational,4/17-18/2016,2,83-82=165,+23,t-46th/65
Fighting Scot Invitational,4/23-24/2016,2,79-81=160,+18,t-29th/66
MWC Championship,4/28-30/2016,3,81-80-79=240,+24,t-8th/47
SEASON TOTALS,SEASON TOTALS,15,1222 Avg. 81.5,+10,-
