Unnamed: 0,Time,Athletes,Meet,Meet Date
,4:28.11,"Voinescu, Crowe, Leonard, Ong",Midwest Conference Indoor Championships,"Feb 23, 2024"
,4:40.72,"Crowe, Leonard, Ong, Roark",Hilltop Invitational,"Jan 20, 2024"
,4:48.65,"Voinescu, Crowe, Leonard, Kreeger",Darren Young Classic,"Feb 10, 2024"
