Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 2, 2022 (Friday)",2 pm Mountain,Neutral,Hardin-Simmons University,"Colorado Springs, CO",,,Pikes Peak Challenge,"L,0-3",Box ScoreRecap
"September 2, 2022 (Friday)",4 pm Mountain,Neutral,University of Wisconsin-Superior,"Colorado Springs, CO",,,Pikes Peak Challenge,"L,0-3",Box ScoreRecap
"September 3, 2022 (Saturday)",10 am Mountain,Neutral,John Carroll University,"Colorado Springs, CO",,,Pikes Peak Challenge,"L,0-3",Box ScoreRecap
"September 3, 2022 (Saturday)",2 pm Mountain,Away,Colorado College,"Colorado Springs, CO",,,Pikes Peak Challenge,"L,0-3",Box ScoreRecap
"September 9, 2022 (Friday)",4:45 pm,Neutral,Finlandia University,"Milwaukee, WI",,,Mount Mary Tournament,"W,3-2",Box ScoreRecap
"September 9, 2022 (Friday)",7:30 pm,Neutral,Anderson University (IN),"Milwaukee, WI",,,Mount Mary Tournament,"L,0-3",Box ScoreRecap
"September 10, 2022 (Saturday)",11:45 am,Neutral,Alverno College,"Milwaukee, WI",,,Mount Mary Tournament,"L,0-3",Box ScoreRecap
"September 10, 2022 (Saturday)",2:30 pm,Away,Mount Mary University,"Milwaukee, WI",,,Mount Mary Tournament,"L,0-3",Box ScoreRecap
"September 13, 2022 (Tuesday)",7 pm,Home,Alverno College,"Appleton, WI/ Alexander Gymnasium",,,,"L,0-3",Box ScoreRecap
"September 16, 2022 (Friday)",5 pm,Home,Maranatha Baptist  University,"Appleton, WI/ Alexander Gymnasium",,,Lawrence Tournament,"L,0-3",Box ScoreRecap
"September 16, 2022 (Friday)",7 pm,Home,Northland College,"Appleton, WI/ Alexander Gymnasium",,,Lawrence Tournament,"L,1-3",Box ScoreRecap
"September 17, 2022 (Saturday)",2 pm,Home,Rockford University,"Appleton, WI/ Alexander Gymnasium",,,Lawrence Tournament,"L,2-3",Box ScoreRecap
"September 17, 2022 (Saturday)",6 pm,Home,Mount Mary University,"Appleton, WI/ Alexander Gymnasium",,,Lawrence Tournament,"L,1-3",Box ScoreRecap
"September 23, 2022 (Friday)",5 pm,Neutral,Carroll University,"Decorah, IA",,,Luther Tournament,"L,0-3",Box ScoreRecap
"September 23, 2022 (Friday)",7 pm,Away,Luther College,"Decorah, IA",,,Luther Tournament,"L,0-3",Box ScoreRecap
"September 24, 2022 (Saturday)",10 am,Neutral,Hamline University,"Decorah, IA",,,Luther Tournament,"L,0-3",Box ScoreRecap
"September 24, 2022 (Saturday)",Noon,Neutral,Augsburg University,"Decorah, IA",,,Luther Tournament,"L,0-3",Box ScoreRecap
"September 27, 2022 (Tuesday)",7 pm,Away,Carroll University,"Waukesha, WI",,,,"L,0-3",Box ScoreRecap
"October 1, 2022 (Saturday)",1 pm,Away,Knox College,"Galesburg, IL",,,,"L,0-3",Box ScoreRecap
"October 4, 2022 (Tuesday)",7:30 pm,Home,Mount Mary University,"Appleton, WI/ Alexander Gymnasium",,,,"L,0-3",Box ScoreRecap
"October 7, 2022 (Friday)",7 pm,Away,Grinnell College,"Grinnell, IA",,,,"L,0-3",Box ScoreRecap
"October 8, 2022 (Saturday)",1 pm,Away,Beloit College,"Beloit, WI",,,,"L,1-3",Box ScoreRecap
"October 11, 2022 (Tuesday)",7 pm,Away,Ripon College,"Ripon, WI",,,,"L,0-3",Box ScoreRecap
"October 18, 2022 (Tuesday)",7 pm,Away,North Park University,"Chicago, IL",,,,Canceled,
"October 21, 2022 (Friday)",7 pm,Home,Monmouth College,"Appleton, WI/ Alexander Gymnasium",,,,"L,0-3",Box ScoreRecap
"October 22, 2022 (Saturday)",1 pm,Home,Illinois College,"Appleton, WI/ Alexander Gymnasium",,,,"L,0-3",Box ScoreRecap
"October 26, 2022 (Wednesday)",7 pm,Home,Lake Forest College,"Appleton, WI/ Alexander Gymnasium",,,,"L,0-3",Box ScoreRecap
"October 28, 2022 (Friday)",7 pm,Home,Cornell College,"Appleton, WI/ Alexander Gymnasium",,,,"L,0-3",Box ScoreRecap
