#,Unnamed: 1_level_0,Unnamed: 2_level_0,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
2.0,"Wilke, Summer 2Wilke, Summer",6,0,0.0,1,0,0.0,0.17,0,0,0.0,0.0,0,0,
4.0,"McClendon, Sydney 4McClendon, Sydney",85,137,1.61,13,0,0.0,0.15,0,0,0.0,0.0,0,0,View Bio
5.0,"Batrezchavez, Kim 5Batrezchavez, Kim",1,1,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,
6.0,"Ossa Sierra, Diana 6Ossa Sierra, Diana",6,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,View Bio
6.0,"Sierra, Diana ossa 6Sierra, Diana ossa",29,30,1.03,5,0,0.0,0.17,0,0,0.0,0.0,0,0,
8.0,"Hickox, Cheyenne 8Hickox, Cheyenne",99,34,0.34,0,0,0.0,0.0,19,42,61.0,0.62,2,5,View Bio
9.0,"Moreland, Rebecca 9Moreland, Rebecca",7,1,0.14,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
11.0,"Weidman, Claire 11Weidman, Claire",99,196,1.98,37,0,0.0,0.37,10,25,35.0,0.35,1,5,View Bio
12.0,"Duncombe, Natalie 12Duncombe, Natalie",72,22,0.31,3,0,0.0,0.04,2,36,38.0,0.53,1,11,View Bio
14.0,"Carroll, Shelby 14Carroll, Shelby",99,38,0.38,0,0,0.0,0.0,5,15,20.0,0.2,5,4,View Bio
15.0,"Knatterud-Johnson, Emma 15Knatterud-Johnson, Emma",87,150,1.72,25,0,0.0,0.29,0,0,0.0,0.0,0,1,View Bio
16.0,"Joy, Jennifer 16Joy, Jennifer",9,6,0.67,1,0,0.0,0.11,0,0,0.0,0.0,0,0,View Bio
18.0,"Moore, Bethine 18Moore, Bethine",96,191,1.99,4,0,0.0,0.04,5,29,34.0,0.35,1,47,View Bio
22.0,"Briggs, Michelle 22Briggs, Michelle",99,32,0.32,0,0,0.0,0.0,21,70,91.0,0.92,8,2,View Bio
23.0,"Fujimoto, Lindsay 23Fujimoto, Lindsay",99,404,4.08,44,0,0.0,0.44,0,0,0.0,0.0,0,4,View Bio
24.0,"Tharp, Erica 24Tharp, Erica",31,44,1.42,1,0,0.0,0.03,0,6,6.0,0.19,5,13,View Bio
,Total,99,1286,12.99,153,0,0.0,1.55,62,223,173.5,1.75,23,94,
,Opponents,99,1430,14.44,108,0,0.0,1.09,48,204,150.0,1.52,15,49,
