#,Player,SP,MP,MS,PTS,PTS/S,Attack,Attack,Attack,Attack,Attack,Set,Set,Serve,Serve,Serve,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
2.0,"Wilke, Summer 2Wilke, Summer",1,1,0.0,0.0,0.0,0,0.0,0,1,0.0,0,0.0,0,0.0,0,
4.0,"McClendon, Sydney 4McClendon, Sydney",36,10,0.0,9.0,0.25,0,0.0,0,1,0.0,1,0.03,9,0.25,13,View Bio
5.0,"Batrezchavez, Kim 5Batrezchavez, Kim",1,1,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,
6.0,"Sierra, Diana ossa 6Sierra, Diana ossa",17,9,1.0,3.0,0.18,1,0.06,1,4,0.0,1,0.06,2,0.12,7,
8.0,"Hickox, Cheyenne 8Hickox, Cheyenne",36,10,5.0,102.5,2.85,83,2.31,24,200,0.295,1,0.03,2,0.06,4,View Bio
11.0,"Weidman, Claire 11Weidman, Claire",36,10,5.0,116.0,3.22,106,2.94,51,332,0.166,13,0.36,3,0.08,8,View Bio
12.0,"Duncombe, Natalie 12Duncombe, Natalie",26,8,4.0,37.0,1.42,28,1.08,15,81,0.16,4,0.15,0,0.0,0,View Bio
14.0,"Carroll, Shelby 14Carroll, Shelby",36,10,0.0,48.5,1.35,44,1.22,33,165,0.067,2,0.06,0,0.0,0,View Bio
15.0,"Knatterud-Johnson, Emma 15Knatterud-Johnson, Emma",29,10,4.0,7.0,0.24,2,0.07,2,13,0.0,2,0.07,5,0.17,11,View Bio
16.0,"Joy, Jennifer 16Joy, Jennifer",2,2,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,View Bio
18.0,"Moore, Bethine 18Moore, Bethine",34,10,5.0,43.0,1.26,29,0.85,13,76,0.211,268,7.88,6,0.18,13,View Bio
22.0,"Briggs, Michelle 22Briggs, Michelle",36,10,5.0,95.5,2.65,73,2.03,21,189,0.275,0,0.0,3,0.08,3,View Bio
23.0,"Fujimoto, Lindsay 23Fujimoto, Lindsay",36,10,0.0,13.0,0.36,4,0.11,1,46,0.065,17,0.47,9,0.25,7,View Bio
24.0,"Tharp, Erica 24Tharp, Erica",12,4,1.0,13.5,1.13,11,0.92,3,33,0.242,29,2.42,0,0.0,0,View Bio
,Total,36,10,,488.0,13.56,381,10.58,166,1143,0.188,338,9.39,39,1.08,66,
,Opponents,36,10,,541.5,15.04,412,11.44,189,1215,0.184,377,10.47,72,2.0,75,
