#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,SET,SET,SERVE,SERVE,SERVE,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
2.0,"Wilke, Summer 2Wilke, Summer",6,4,1.0,1.0,0.17,0,0.0,0,2,0.0,0,0.0,1,0.17,0,
4.0,"McClendon, Sydney 4McClendon, Sydney",85,25,0.0,28.0,0.33,1,0.01,3,10,-0.2,9,0.11,27,0.32,24,View Bio
5.0,"Batrezchavez, Kim 5Batrezchavez, Kim",1,1,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,
6.0,"Ossa Sierra, Diana 6Ossa Sierra, Diana",6,2,0.0,5.0,0.83,1,0.17,0,1,1.0,0,0.0,4,0.67,7,View Bio
6.0,"Sierra, Diana ossa 6Sierra, Diana ossa",29,16,1.0,5.0,0.17,1,0.03,1,4,0.0,1,0.03,4,0.14,9,
8.0,"Hickox, Cheyenne 8Hickox, Cheyenne",99,28,7.0,227.0,2.29,181,1.83,82,487,0.203,4,0.04,6,0.06,14,View Bio
9.0,"Moreland, Rebecca 9Moreland, Rebecca",7,3,0.0,0.0,0.0,0,0.0,1,2,-0.5,0,0.0,0,0.0,0,View Bio
11.0,"Weidman, Claire 11Weidman, Claire",99,28,7.0,291.5,2.94,243,2.45,136,852,0.126,19,0.19,26,0.26,20,View Bio
12.0,"Duncombe, Natalie 12Duncombe, Natalie",72,21,5.0,102.0,1.42,81,1.13,48,245,0.135,18,0.25,1,0.01,0,View Bio
14.0,"Carroll, Shelby 14Carroll, Shelby",99,28,1.0,134.5,1.36,121,1.22,101,444,0.045,4,0.04,1,0.01,0,View Bio
15.0,"Knatterud-Johnson, Emma 15Knatterud-Johnson, Emma",87,27,5.0,22.0,0.25,4,0.05,8,34,-0.118,9,0.1,18,0.21,23,View Bio
16.0,"Joy, Jennifer 16Joy, Jennifer",9,6,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.11,0,0.0,0,View Bio
18.0,"Moore, Bethine 18Moore, Bethine",96,28,7.0,110.5,1.15,68,0.71,31,228,0.162,667,6.95,23,0.24,37,View Bio
22.0,"Briggs, Michelle 22Briggs, Michelle",99,28,7.0,266.0,2.69,200,2.02,79,534,0.227,3,0.03,10,0.1,23,View Bio
23.0,"Fujimoto, Lindsay 23Fujimoto, Lindsay",99,28,0.0,38.0,0.38,6,0.06,4,92,0.022,34,0.34,32,0.32,18,View Bio
24.0,"Tharp, Erica 24Tharp, Erica",31,11,1.0,32.0,1.03,22,0.71,11,74,0.149,67,2.16,7,0.23,2,View Bio
,Total,99,28,,1262.5,12.75,929,9.38,507,3011,0.14,836,8.44,160,1.62,177,
,Opponents,99,28,,1537.0,15.53,1166,11.78,512,3206,0.204,1039,10.49,221,2.23,206,
