#,Player,SP,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
2.0,"Wilke, Summer 2Wilke, Summer",1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,
4.0,"McClendon, Sydney 4McClendon, Sydney",36,48,1.33,7,0,0.0,0.19,0,0,0.0,0.0,0,0,View Bio
5.0,"Batrezchavez, Kim 5Batrezchavez, Kim",1,1,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,
6.0,"Sierra, Diana ossa 6Sierra, Diana ossa",17,27,1.59,2,0,0.0,0.12,0,0,0.0,0.0,0,0,
8.0,"Hickox, Cheyenne 8Hickox, Cheyenne",36,16,0.44,0,0,0.0,0.0,8,19,27.0,0.75,1,3,View Bio
11.0,"Weidman, Claire 11Weidman, Claire",36,77,2.14,20,0,0.0,0.56,2,10,12.0,0.33,1,3,View Bio
12.0,"Duncombe, Natalie 12Duncombe, Natalie",26,3,0.12,1,0,0.0,0.04,2,14,16.0,0.62,0,4,View Bio
14.0,"Carroll, Shelby 14Carroll, Shelby",36,14,0.39,0,0,0.0,0.0,2,5,7.0,0.19,2,3,View Bio
15.0,"Knatterud-Johnson, Emma 15Knatterud-Johnson, Emma",29,55,1.9,12,0,0.0,0.41,0,0,0.0,0.0,0,1,View Bio
16.0,"Joy, Jennifer 16Joy, Jennifer",2,1,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
18.0,"Moore, Bethine 18Moore, Bethine",34,64,1.88,1,0,0.0,0.03,2,12,14.0,0.41,1,15,View Bio
22.0,"Briggs, Michelle 22Briggs, Michelle",36,9,0.25,0,0,0.0,0.0,6,27,33.0,0.92,5,2,View Bio
23.0,"Fujimoto, Lindsay 23Fujimoto, Lindsay",36,169,4.69,23,0,0.0,0.64,0,0,0.0,0.0,0,3,View Bio
24.0,"Tharp, Erica 24Tharp, Erica",12,11,0.92,0,0,0.0,0.0,0,5,5.0,0.42,3,4,View Bio
,Total,36,495,13.75,71,0,0.0,1.97,22,92,68.0,1.89,13,38,
,Opponents,36,524,14.56,39,0,0.0,1.08,18,79,57.5,1.6,3,20,
