Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
8/31/2012,vs Wis.-River Falls,L,3,22,17,51,0.098,19,9,10,0,15,1,3,0,2.5,4,33.5
8/31/2012,vs Buena Vista,L,3,30,19,71,0.155,27,11,8,0,34,8,0,0,8.0,6,49.0
9/01/2012,at Northwestern,L,3,23,14,80,0.113,21,2,7,12,23,0,6,3,3.0,1,28.0
9/01/2012,vs Wisconsin Lutheran,W,5,35,13,114,0.193,34,12,11,0,62,2,0,0,2.0,8,49.0
9/04/2012,at Wartburg College,L,3,12,18,65,-0.092,11,3,3,7,22,0,4,1,2.0,0,17.0
9/07/2012,vs Mills College,W,3,36,16,77,0.26,33,13,9,0,0,0,0,0,0.0,1,49.0
9/07/2012,vs Univ. of Redlands,L,3,22,23,81,-0.012,21,7,6,0,34,3,8,0,7.0,3,36.0
9/08/2012,vs Chapman University,L,3,22,10,89,0.135,22,4,5,0,43,3,6,0,6.0,5,32.0
9/08/2012,vs Occidental College,L,3,23,18,91,0.055,20,6,7,0,47,4,6,0,7.0,4,36.0
9/14/2012,at Simpson,L,3,18,23,89,-0.056,18,5,4,8,40,1,4,0,3.0,2,26.0
9/14/2012,vs Nebraska Wesleyan,L,3,25,13,84,0.143,24,9,2,0,47,3,0,0,3.0,8,37.0
9/15/2012,vs Coe,L,3,27,21,102,0.059,27,5,8,0,51,3,3,1,4.5,0,36.5
9/15/2012,vs Saint Benedict,L,3,27,13,111,0.126,22,8,5,0,46,2,7,0,5.5,0,40.5
9/21/2012,Rockford College,L,5,51,29,193,0.114,47,4,7,15,87,3,16,2,11.0,5,66.0
9/22/2012,Coe College,L,4,39,19,130,0.154,34,1,4,2,57,2,24,1,14.0,3,54.0
9/22/2012,Central College,L,5,53,34,166,0.114,49,12,4,12,77,4,14,1,11.0,2,76.0
9/25/2012,Monmouth College,L,3,30,23,111,0.063,28,3,6,6,53,2,10,1,7.0,5,40.0
9/29/2012,Knox College,W,3,45,9,87,0.414,40,6,8,4,36,2,4,1,4.0,2,55.0
9/29/2012,Simpson College,L,5,48,21,169,0.16,41,8,6,16,65,1,16,0,9.0,4,65.0
10/02/2012,at Cornell College,L,3,22,15,71,0.099,15,0,5,10,22,0,4,1,2.0,1,24.0
10/05/2012,at Lake Forest College,L,3,27,20,108,0.065,26,4,4,7,45,2,2,0,3.0,5,34.0
10/06/2012,at Beloit College,W,3,47,11,100,0.36,44,7,9,4,52,3,10,0,8.0,3,62.0
10/10/2012,at William Penn,L,3,35,20,105,0.143,28,2,5,10,41,0,14,1,7.0,0,44.0
10/13/2012,Illinois College,L,5,53,17,149,0.242,47,5,12,14,58,0,18,7,9.0,9,67.0
10/19/2012,at Ripon College,W,5,42,23,133,0.143,39,4,6,9,53,5,16,0,13.0,3,59.0
10/20/2012,at Carroll University,W,4,43,15,137,0.204,37,4,8,6,58,3,14,2,10.0,0,57.0
10/26/2012,St. Norbert College,L,3,29,15,105,0.133,25,1,3,7,52,2,6,0,5.0,3,35.0
10/27/2012,Lawrence University,W,4,43,18,142,0.176,37,5,5,5,66,3,8,1,7.0,7,55.0
,Grinnell,,99,929,507,3011,0.14,836,160,177,154,1286,62,223,23,173.5,94,1262.5
,Opponents,,99,1166,512,3206,0.204,1039,221,206,108,1430,48,204,15,150.0,49,1537.0
