Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Carchidi, Eva",FR-1,26.52 #,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Edassery, Sonia",JR-3,26.54 #,Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Frasca, Athena",SR-4,27.06 #,Grinnell Opener,"Dec 9, 2022",NWI
,"Crowe, Maile",SO-2,27.59 #,Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Staker, Sadie",JR-3,28.69 #,Darren Young Classic,"Feb 11, 2023",NWI
,"Kaczmarczyk, Crystal",SO-2,28.93 #,Grinnell Invitational,"Jan 28, 2023",NWI
,"Voinescu, Isa",FR-1,29.54 #,Darren Young Classic,"Feb 11, 2023",NWI
,"Ong, Caitlin",FR-1,29.96 #,Hilltop Invitational,"Jan 21, 2023",NWI
,"Goodman, Jessie",FR-1,30.57 #,Darren Young Classic,"Feb 11, 2023",NWI
,"Natalie, Alexandra",FR-1,34.24 #,Grinnell Invitational,"Jan 28, 2023",NWI
,"Nassoko, Sira",FR-1,35.34 #,Grinnell Opener,"Dec 9, 2022",NWI
