Unnamed: 0,Time,Athletes,Meet,Meet Date
,4:10.08 #,"Edassery, Staker, Crowe, Frasca",Darren Young Classic,"Feb 11, 2023"
,4:22.69 #,"Edassery, Staker, Carchidi, Frasca",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,4:28.36 #,"Reid, Sheehan-Klenk, Kaczmarczyk, Staker",Grinnell Invitational,"Jan 28, 2023"
,4:32.19 #,"Elliott-Rude, Kaczmarczyk, Rabbani, Roark",Darren Young Classic,"Feb 11, 2023"
,4:38.63 #,"Reid, Sheehan-Klenk, Barba, Rabbani",Grinnell Opener,"Dec 9, 2022"
