Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Clawson, Ian",SO-2,17.23m,"56' 6.5""",Darren Young Classic,"Feb 10, 2024"
,"Clawson, Ian",SO-2,17.21m,"56' 5.75""",Darren Young Classic,"Feb 10, 2024"
,"Clawson, Ian",SO-2,16.82m,"55' 2.25""",Wartburg Qualifier,"Mar 1, 2024"
,"Clawson, Ian",SO-2,16.79m,"55' 1""",Wartburg Qualifier,"Mar 1, 2024"
,"Clawson, Ian",SO-2,16.74m,"54' 11.25""",Darren Young Classic,"Feb 10, 2024"
,"Clawson, Ian",SO-2,16.60m,"54' 5.5""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Clawson, Ian",SO-2,16.56m,"54' 4""",Wartburg Qualifier,"Mar 1, 2024"
,"Clawson, Ian",SO-2,16.55m,"54' 3.75""",Darren Young Classic,"Feb 10, 2024"
,"Clawson, Ian",SO-2,16.50m,"54' 1.75""",Grinnell Invitational,"Jan 27, 2024"
,"Clawson, Ian",SO-2,16.50m,"54' 1.75""",Darren Young Classic,"Feb 10, 2024"
,"Clawson, Ian",SO-2,16.46m,"54' 0""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Clawson, Ian",SO-2,16.42m,"53' 10.5""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Clawson, Ian",SO-2,16.41m,"53' 10.25""",Grinnell Invitational,"Jan 27, 2024"
,"Clawson, Ian",SO-2,16.37m,"53' 8.5""",Grinnell Invitational,"Jan 27, 2024"
,"Clawson, Ian",SO-2,16.33m,"53' 7""",Hilltop Invitational,"Jan 20, 2024"
,"Clawson, Ian",SO-2,16.30m,"53' 5.75""",Wartburg Qualifier,"Mar 1, 2024"
,"Clawson, Ian",SO-2,16.28m,"53' 5""",Wartburg Qualifier,"Mar 1, 2024"
,"Clawson, Ian",SO-2,16.25m,"53' 3.75""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Clawson, Ian",SO-2,16.22m,"53' 2.75""",Hilltop Invitational,"Jan 20, 2024"
,"Clawson, Ian",SO-2,16.21m,"53' 2.25""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Clawson, Ian",SO-2,16.14m,"52' 11.5""",Grinnell Invitational,"Jan 27, 2024"
,"Clawson, Ian",SO-2,16.13m,"52' 11""",Hilltop Invitational,"Jan 20, 2024"
,"Clawson, Ian",SO-2,16.05m,"52' 8""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Clawson, Ian",SO-2,16.00m,"52' 6""",Hilltop Invitational,"Jan 20, 2024"
,"Clawson, Ian",SO-2,15.93m,"52' 3.25""",Hilltop Invitational,"Jan 20, 2024"
,"Clawson, Ian",SO-2,15.82m,"51' 11""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Clawson, Ian",SO-2,15.71m,"51' 6.5""",Grinnell Invitational,"Jan 27, 2024"
,"Clawson, Ian",SO-2,15.64m,"51' 3.75""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Clawson, Ian",SO-2,15.63m,"51' 3.5""",Wartburg Qualifier,"Mar 1, 2024"
,"Clawson, Ian",SO-2,15.59m,"51' 1.75""",Hilltop Invitational,"Jan 20, 2024"
,"Clawson, Ian",SO-2,15.54m,"51' 0""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Clawson, Ian",SO-2,15.47m,"50' 9.25""",Darren Young Classic,"Feb 10, 2024"
,"Bean, Garret",JR-3,15.32m,"50' 3.25""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Bean, Garret",JR-3,15.11m,"49' 7""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Clawson, Ian",SO-2,15.10m,"49' 6.5""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Bean, Garret",JR-3,15.07m,"49' 5.5""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Clawson, Ian",SO-2,15.03m,"49' 3.75""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Bean, Garret",JR-3,14.96m,"49' 1""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Bean, Garret",JR-3,14.76m,"48' 5.25""",Wartburg Qualifier,"Mar 1, 2024"
,"Bean, Garret",JR-3,14.69m,"48' 2.5""",Wartburg Qualifier,"Mar 1, 2024"
,"Bean, Garret",JR-3,14.55m,"47' 9""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Bean, Garret",JR-3,14.52m,"47' 7.75""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Bean, Garret",JR-3,14.36m,"47' 1.5""",Wartburg Qualifier,"Mar 1, 2024"
,"Bean, Garret",JR-3,14.35m,"47' 1""",Wartburg Qualifier,"Mar 1, 2024"
,"Bean, Garret",JR-3,13.99m,"45' 10.75""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Bean, Garret",JR-3,13.60m,"44' 7.5""",Wartburg Qualifier,"Mar 1, 2024"
