Unnamed: 0,Time,Athletes,Meet,Meet Date
,1:31.91,"Fitzgerald, Pfister, Rathburn, Fadden",Midwest Conference Indoor Championships,"Feb 23, 2024"
,1:36.03,"Fornari, Rathburn, Novelle, Fadden",Hilltop Invitational,"Jan 20, 2024"
,1:39.34,"James, Fitzgerald, Leisher, Milenge",Hilltop Invitational,"Jan 20, 2024"
