Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Clawson, Ian",SO-2,12.34m,"40' 6""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Clawson, Ian",SO-2,12.12m,"39' 9.25""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Clawson, Ian",SO-2,12.10m,"39' 8.5""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Clawson, Ian",SO-2,12.04m,"39' 6""",Hilltop Invitational,"Jan 20, 2024"
,"Clawson, Ian",SO-2,11.89m,"39' 0.25""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Clawson, Ian",SO-2,11.82m,"38' 9.5""",Darren Young Classic,"Feb 10, 2024"
,"Clawson, Ian",SO-2,11.81m,"38' 9""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Clawson, Ian",SO-2,11.80m,"38' 8.75""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Clawson, Ian",SO-2,11.70m,"38' 4.75""",Darren Young Classic,"Feb 10, 2024"
,"Bean, Garret",JR-3,11.67m,"38' 3.5""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Clawson, Ian",SO-2,11.65m,"38' 2.75""",Grinnell Invitational,"Jan 27, 2024"
,"Clawson, Ian",SO-2,11.62m,"38' 1.5""",Hilltop Invitational,"Jan 20, 2024"
,"Clawson, Ian",SO-2,11.54m,"37' 10.5""",Darren Young Classic,"Feb 10, 2024"
,"Clawson, Ian",SO-2,11.28m,"37' 0.25""",Grinnell Invitational,"Jan 27, 2024"
,"Clawson, Ian",SO-2,11.27m,"36' 11.75""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Clawson, Ian",SO-2,11.22m,"36' 9.75""",Hilltop Invitational,"Jan 20, 2024"
,"Bean, Garret",JR-3,11.19m,"36' 8.5""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Bean, Garret",JR-3,11.15m,"36' 7""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Clawson, Ian",SO-2,11.12m,"36' 5.75""",Hilltop Invitational,"Jan 20, 2024"
,"Bean, Garret",JR-3,10.87m,"35' 8""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Clawson, Ian",SO-2,10.87m,"35' 8""",Hilltop Invitational,"Jan 20, 2024"
,"Chu, Travis",JR-3,10.86m,"35' 7.75""",Grinnell Invitational,"Jan 27, 2024"
,"Bean, Garret",JR-3,10.86m,"35' 7.75""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Chu, Travis",JR-3,10.81m,"35' 5.75""",Grinnell Invitational,"Jan 27, 2024"
,"Bean, Garret",JR-3,10.76m,"35' 3.75""",Hilltop Invitational,"Jan 20, 2024"
,"Clawson, Ian",SO-2,10.76m,"35' 3.75""",Hilltop Invitational,"Jan 20, 2024"
,"Clawson, Ian",SO-2,10.74m,"35' 3""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Bean, Garret",JR-3,10.73m,"35' 2.5""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Bean, Garret",JR-3,10.67m,"35' 0.25""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Chu, Travis",JR-3,10.62m,"34' 10.25""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Bean, Garret",JR-3,10.54m,"34' 7""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Bean, Garret",JR-3,10.50m,"34' 5.5""",Hilltop Invitational,"Jan 20, 2024"
,"Chu, Travis",JR-3,10.45m,"34' 3.5""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Chu, Travis",JR-3,10.39m,"34' 1.25""",Darren Young Classic,"Feb 10, 2024"
,"Chu, Travis",JR-3,10.39m,"34' 1.25""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Bean, Garret",JR-3,10.27m,"33' 8.5""",Darren Young Classic,"Feb 10, 2024"
,"Chu, Travis",JR-3,10.27m,"33' 8.5""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Bean, Garret",JR-3,10.15m,"33' 3.75""",Grinnell Invitational,"Jan 27, 2024"
,"Chu, Travis",JR-3,10.14m,"33' 3.25""",Darren Young Classic,"Feb 10, 2024"
,"Chu, Travis",JR-3,10.04m,"32' 11.25""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Bean, Garret",JR-3,9.94m,"32' 7.5""",Hilltop Invitational,"Jan 20, 2024"
,"Chu, Travis",JR-3,9.83m,"32' 3""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Bean, Garret",JR-3,9.75m,"32' 0""",Hilltop Invitational,"Jan 20, 2024"
,"Bean, Garret",JR-3,9.45m,"31' 0""",Hilltop Invitational,"Jan 20, 2024"
,"Bean, Garret",JR-3,9.25m,"30' 4.25""",Darren Young Classic,"Feb 10, 2024"
,"Bean, Garret",JR-3,9.14m,"30' 0""",Darren Young Classic,"Feb 10, 2024"
,"Bean, Garret",JR-3,8.82m,"28' 11.25""",Grinnell Invitational,"Jan 27, 2024"
,"Chu, Travis",JR-3,8.77m,"28' 9.25""",Darren Young Classic,"Feb 10, 2024"
,"Chu, Travis",JR-3,8.71m,"28' 7""",Hilltop Invitational,"Jan 20, 2024"
,"Chu, Travis",JR-3,8.05m,"26' 5""",Hilltop Invitational,"Jan 20, 2024"
,"Chu, Travis",JR-3,7.09m,"23' 3.25""",Hilltop Invitational,"Jan 20, 2024"
