Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Goodell, Brian",SR-4,14:54.05,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Goodell, Brian",SR-4,15:06.12,Darren Young Classic,"Feb 10, 2024"
,"Goodell, Brian",SR-4,15:19.04,Grinnell Invitational,"Jan 27, 2024"
,"Ramsey, Bradley",SR-4,15:19.05,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Ramsey, Bradley",SR-4,15:28.93,Darren Young Classic,"Feb 10, 2024"
,"Ramsey, Bradley",SR-4,15:35.76,Wartburg Qualifier,"Mar 1, 2024"
,"Miller, John",SO-2,15:36.78,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Ramsey, Bradley",SR-4,15:41.98,Grinnell Invitational,"Jan 27, 2024"
,"Miller, John",SO-2,15:44.39,Grinnell Invitational,"Jan 27, 2024"
,"Krysan, Mark",JR-3,16:38.03,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Krysan, Mark",JR-3,16:46.75,Darren Young Classic,"Feb 10, 2024"
,"Krysan, Mark",JR-3,16:57.80,Grinnell Invitational,"Jan 27, 2024"
,"Beck, Sam",FR-1,17:22.59,Grinnell Invitational,"Jan 27, 2024"
