Unnamed: 0,Time,Athletes,Meet,Meet Date
,3:39.23,"Fitzgerald, Rathburn, Pfister, Welch-Groves",Midwest Conference Indoor Championships,"Feb 23, 2024"
,3:47.06,"Fornari, Novelle, Pfister, Welch-Groves",Darren Young Classic,"Feb 10, 2024"
