0,1,2,3,4
,,,Low,
Season,Rounds,Strokes,Round,Average
2021-22,15,1237,75,82.5
2022-23,12,995,78,82.9
2023-24,4,371,88,92.8
2024-25,4,332,79,83.0
Totals,35,2935,75,83.9
