0,1,2,3,4
,,,Low,
Season,Rounds,Strokes,Round,Average
2021-22,8,709,76,88.6
2022-23,6,518,79,86.3
2023-24,4,328,77,82.0
2024-25,6,526,80,87.7
Totals,24,2081,76,86.7
