Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Maddaus, Jordan",FR-1,26.98,16 Midwest Conference Championships,"May 13, 2016",1.7
,"Maddaus, Jordan",FR-1,27.08,2016 Kip Janvrin Open,"Apr 28, 2016",1.3
,"Maddaus, Jordan",FR-1,27.35,Monmouth College Fighting Scots Outdoor,"May 7, 2016",0.9
,"Kessel, Hanna",FR-1,27.67,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",1.0
,"Maddaus, Jordan",FR-1,27.9,2016 Cornell Outdoor Invite,"Apr 9, 2016",1.7
,"Kessel, Hanna",FR-1,27.94,Monmouth College Fighting Scots Outdoor,"May 7, 2016",0.9
,"Kessel, Hanna",FR-1,28.08,Grinnell College Dick Young Classic,"Apr 23, 2016",-3.0
,"Williams, Alexus",JR-3,28.11,2016 Jim Duncan Invitational,"Apr 15, 2016",-2.9
,"Williams, Alexus",JR-3,28.11,2016 Cornell Outdoor Invite,"Apr 9, 2016",1.5
,"Kessel, Hanna",FR-1,28.14,16 Midwest Conference Championships,"May 13, 2016",1.0
,"Kessel, Hanna",FR-1,28.36,2016 Jim Duncan Invitational,"Apr 15, 2016",-2.9
,"Maddaus, Jordan",FR-1,28.81,Grinnell College Dick Young Classic,"Apr 23, 2016",-3.0
,"Kessel, Hanna",FR-1,29.04,2016 Cornell Outdoor Invite,"Apr 9, 2016",1.7
,"Bresette-Buccino, Nora",SR-4,29.66,Monmouth College Fighting Scots Outdoor,"May 7, 2016",1.1
,"Holtzman, Gwen",FR-1,29.99,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",1.0
,"Schmiechen, Zoe",JR-3,30.33,Monmouth College Fighting Scots Outdoor,"May 7, 2016",1.1
,"Schmiechen, Alex",JR-3,30.36,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",0.1
,"Schmiechen, Alex",JR-3,30.38,Monmouth College Fighting Scots Outdoor,"May 7, 2016",1.1
,"Bresnahan, Cara",FR-1,30.41,2016 Cornell Outdoor Invite,"Apr 9, 2016",0.1
,"Bresnahan, Cara",FR-1,30.42,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",0.3
,"Schmiechen, Alex",JR-3,30.71,2016 Jim Duncan Invitational,"Apr 15, 2016",-2.9
,"Schmiechen, Alex",JR-3,31.12,2016 Cornell Outdoor Invite,"Apr 9, 2016",0.1
,"Wang, Yule",FR-1,32.0,Grinnell College Dick Young Classic,"Apr 23, 2016",-1.0
,"Wang, Yule",FR-1,32.17,2016 Cornell Outdoor Invite,"Apr 9, 2016",1.8
,"Schmiechen, Zoe",JR-3,32.22,2016 Cornell Outdoor Invite,"Apr 9, 2016",0.8
,"Haralalka, Vedica",FR-1,34.13,2016 Cornell Outdoor Invite,"Apr 9, 2016",1.8
,"Silverwood, Sierra",SO-2,34.78,2016 Cornell Outdoor Invite,"Apr 9, 2016",0.8
