Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Bresette-Buccino, Nora",SR-4,16.82,Monmouth College Fighting Scots Outdoor,"May 7, 2016",1.3
,"Bresette-Buccino, Nora",SR-4,17.05,16 Midwest Conference Championships,"May 13, 2016",0.1
,"Bresette-Buccino, Nora",SR-4,17.38,2016 Kip Janvrin Open,"Apr 28, 2016",-0.1
,"Holtzman, Gwen",FR-1,17.91,Monmouth College Fighting Scots Outdoor,"May 7, 2016",1.3
,"Holtzman, Gwen",FR-1,17.92,2016 Kip Janvrin Open,"Apr 28, 2016",-0.1
,"Holtzman, Gwen",FR-1,18.09,16 Midwest Conference Championships,"May 13, 2016",-0.3
,"Holtzman, Gwen",FR-1,18.14,Grinnell College Dick Young Classic,"Apr 23, 2016",1.9
,"Holtzman, Gwen",FR-1,18.43,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",0.6
,"Holtzman, Gwen",FR-1,18.53,2016 Cornell Outdoor Invite,"Apr 9, 2016",1.5
,"Holtzman, Gwen",FR-1,18.56,2016 Jim Duncan Invitational,"Apr 15, 2016",-4.7
,"Silverwood, Sierra",SO-2,20.54,Grinnell College Dick Young Classic,"Apr 23, 2016",1.9
,"Silverwood, Sierra",SO-2,21.14,2016 Kip Janvrin Open,"Apr 28, 2016",-0.1
