Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Bresnahan, Cara",FR-1,31.06m,"101' 11""",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Bresnahan, Cara",FR-1,31.02m,"101' 9""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Bresnahan, Cara",FR-1,30.50m,"100' 1""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Bresnahan, Cara",FR-1,30.49m,"100' 0""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Bresnahan, Cara",FR-1,30.45m,"99' 11""",2016 Jim Duncan Invitational,"Apr 15, 2016"
,"Bresnahan, Cara",FR-1,30.37m,"99' 8""",Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Bresnahan, Cara",FR-1,30.25m,"99' 3""",Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Bresnahan, Cara",FR-1,30.03m,"98' 6""",2016 Jim Duncan Invitational,"Apr 15, 2016"
,"Bresnahan, Cara",FR-1,29.90m,"98' 1""",2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Bresnahan, Cara",FR-1,29.80m,"97' 9""",2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Bresnahan, Cara",FR-1,29.67m,"97' 4""",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Bresnahan, Cara",FR-1,29.50m,"96' 9""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Bresnahan, Cara",FR-1,29.41m,"96' 6""",2016 Kip Janvrin Open,"Apr 28, 2016"
,"Bresnahan, Cara",FR-1,29.27m,"96' 0""",2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Bresnahan, Cara",FR-1,29.16m,"95' 8""",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Bresnahan, Cara",FR-1,29.08m,"95' 5""",2016 Jim Duncan Invitational,"Apr 15, 2016"
,"Bresnahan, Cara",FR-1,29.04m,"95' 3""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Bresnahan, Cara",FR-1,28.41m,"93' 2""",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Bresnahan, Cara",FR-1,28.26m,"92' 8""",2016 Kip Janvrin Open,"Apr 28, 2016"
,"Bresnahan, Cara",FR-1,27.82m,"91' 3""",2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Bresnahan, Cara",FR-1,27.70m,"90' 10""",2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Bresnahan, Cara",FR-1,26.91m,"88' 3""",Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Bresnahan, Cara",FR-1,26.60m,"87' 3""",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Bresnahan, Cara",FR-1,26.34m,"86' 5""",2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Bresnahan, Cara",FR-1,25.04m,"82' 2""",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Bresnahan, Cara",FR-1,24.38m,"80' 0""",Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Bresnahan, Cara",FR-1,22.66m,"74' 4""",16 Midwest Conference Championships,"May 13, 2016"
,"Bresnahan, Cara",FR-1,21.56m,"70' 9""",16 Midwest Conference Championships,"May 13, 2016"
