Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Kessel, Hanna",FR-1,12.7,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",1.6
,"Maddaus, Jordan",FR-1,13.21,Monmouth College Fighting Scots Outdoor,"May 7, 2016",0.9
,"Maddaus, Jordan",FR-1,13.3,16 Midwest Conference Championships,"May 13, 2016",0.4
,"Kessel, Hanna",FR-1,13.32,Grinnell College Dick Young Classic,"Apr 23, 2016",1.5
,"Maddaus, Jordan",FR-1,13.51,2016 Kip Janvrin Open,"Apr 28, 2016",-0.1
,"Maddaus, Jordan",FR-1,13.53,2016 Cornell Outdoor Invite,"Apr 9, 2016",0.4
,"Kessel, Hanna",FR-1,14.04,2016 Cornell Outdoor Invite,"Apr 9, 2016",1.9
,"Bresette-Buccino, Nora",SR-4,14.25,Grinnell College Dick Young Classic,"Apr 23, 2016",1.5
,"Bresnahan, Cara",FR-1,14.32,2016 Kip Janvrin Open,"Apr 28, 2016",0.4
,"Bresette-Buccino, Nora",SR-4,14.32,2016 Kip Janvrin Open,"Apr 28, 2016",0.4
,"Bresnahan, Cara",FR-1,14.4,Monmouth College Fighting Scots Outdoor,"May 7, 2016",0.9
,"Bresnahan, Cara",FR-1,14.43,2016 Cornell Outdoor Invite,"Apr 9, 2016",0.2
,"Schmiechen, Alex",JR-3,14.53,Grinnell College Dick Young Classic,"Apr 23, 2016",1.5
,"Schmiechen, Alex",JR-3,14.53,16 Midwest Conference Championships,"May 13, 2016",1.4
,"Schmiechen, Alex",JR-3,14.84,Monmouth College Fighting Scots Outdoor,"May 7, 2016",0.4
,"Schmiechen, Alex",JR-3,14.92,2016 Jim Duncan Invitational,"Apr 15, 2016",-1.5
,"Haralalka, Vedica",FR-1,14.95,Grinnell College Dick Young Classic,"Apr 23, 2016",1.5
,"Schmiechen, Alex",JR-3,15.1,2016 Cornell Outdoor Invite,"Apr 9, 2016",0.2
