0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2022-23,15,1174,-,225,154,-,73,-,8,1,1,3,433-113,.793,78.3
2023-24,19,1506,328,231,152,75,73,-,8,1,1,2,494-220,.692,79.3
Totals,34,2680,328,225,152,75,73,-,16,2,2,5,927-333,.736,78.8
