0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2022-23,7,565,-,240,159,-,77,-,4,-,-,1,136-30,.819,80.7
2023-24,12,969,321,232,160,80,71,1,5,-,2,2,257-130,.664,80.8
Totals,19,1534,321,232,159,80,71,1,9,-,2,3,393-160,.711,80.7
