0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2020-21,4,338,-,-,175,78,78,-,3,-,1,2,50-21,.704,84.5
2021-22,12,977,-,-,152,82,74,-,7,-,1,2,226-177,.561,81.4
2022-23,9,734,-,255,155,-,75,-,4,-,-,1,240-99,.708,81.6
2023-24,6,490,-,245,168,77,77,-,3,-,1,1,99-26,.792,81.7
Totals,31,2539,-,245,152,77,74,-,17,-,3,6,615-323,.656,81.9
