Year,Name,Award,Level
2025,Kevin Fitzgerald,All American,National
2025,Kevin Fitzgerald,All American,National
2025,Kevin Fitzgerald,All American,National
2025,Rommin Adl,All American,National
2025,Aidan Donovan,All American,National
2025,"Evan 
Feilmeyer",All American,National
2016,Daniel Goldstein,All American,National
2014,Daniel Goldstein,All American,National
2014,Michael Brus,All American,National
2013,Michael Brus,All American,National
2013,Michael Brus,All American,National
2013,Michael Brus,All American,National
2012,Michael Brus,All American,National
2012,Michael Brus,All American,National
2012,Michael Brus,All American,National
2011,Michael Brus,All American,National
2004,Eric Blevins,All American,National
2004,Eric Blevins,All American,National
2024,Kevin Fitzgerald,CSCAA Scholar-Athlete,National
2017,Ian Dixon-Anderson,CSCAA Scholar-Athlete,National
2016,Daniel Goldstein,CSCAA Scholar-Athlete,National
2015,Daniel Goldstein,CSCAA Scholar-Athlete,National
2014,Daniel Goldstein,CSCAA Scholar-Athlete,National
2014,Michael Brus,CSCAA Scholar-Athlete,National
2014,Kevin Bennet,CSCAA Scholar-Athlete,National
2014,Joe Lytle,CSCAA Scholar-Athlete,National
2013,Beck Ringdahl-Mayland,CSCAA Scholar-Athlete,National
2013,Manu Spooner,CSCAA Scholar-Athlete,National
2013,Daniel Goldstein,CSCAA Scholar-Athlete,National
2011,Cyrus Mistry,CSCAA Scholar-Athlete,National
2010,Cyrus Mistry,CSCAA Scholar-Athlete,National
2009,Cyrus Mistry,CSCAA Scholar-Athlete,National
2008,Cyrus Mistry,CSCAA Scholar-Athlete,National
2006,Daniel Shyrock,CSCAA Scholar-Athlete,National
2006,Peter Brown,CSCAA Scholar-Athlete,National
2005,Peter Brown,CSCAA Scholar-Athlete,National
2005,Kevin Wood,CSCAA Scholar-Athlete,National
2025,Sam Larsen,Academic All-District,Region 
2025,Cooper Malone,CoSIDA Academic All-District,Region 
2025,Antoni Staszkiewicz,CoSIDA Academic All-District,Region 
2025,Noah Tsukuda,CoSIDA Academic All-District,Region 
2024,Harvey Wilhelm,CoSIDA Academic All-District,Region 
2024,Kade Dolphin,CoSIDA Academic All-District,Region 
2024,Sam Larsen,CoSIDA Academic All-District,Region 
2024,Jacob Lester,CoSIDA Academic All-District,Region 
2019,Albert Ford,CoSIDA Academic All-District,Region 
2016,Daniel Goldstein,CoSIDA Academic All-District,Region 
2015,Daniel Goldstein,CoSIDA Academic All-District,Region 
2014,Daniel Goldstein,CoSIDA Academic All-District,Region 
2025,Kevin Fitzgerald,Outstanding Swimmer,Midwest Conference
2024,Ethan Yuen,Outstanding Swimmer,Midwest Conference
2023,Sean Colson,Outstanding Swimmer,Midwest Conference
2022,Kevin Fitzgerald,Outstanding Swimmer,Midwest Conference
2018,Paul Cover,Outstanding Swimmer,Midwest Conference
2017,Will Lindell,Outstanding Swimmer,Midwest Conference
2016,Thomas Robinson,Outstanding Swimmer,Midwest Conference
2014,Michael Brus,Outstanding Swimmer,Midwest Conference
2013,Michael Brus,Outstanding Swimmer,Midwest Conference
2012,Michael Brus,Outstanding Swimmer,Midwest Conference
2011,Michael Brus,Outstanding Swimmer,Midwest Conference
2008,Nate Wittman,Outstanding Swimmer,Midwest Conference
2007,Nate Wittman,Outstanding Swimmer,Midwest Conference
2006,Pete Brown,Outstanding Swimmer,Midwest Conference
2005,Brett McMillian,Outstanding Swimmer,Midwest Conference
2003,Brett McMillian,Outstanding Swimmer,Midwest Conference
2020,Grant Lattery,Outstanding Diver,Midwest Conference
2016,Daniel Goldstein,Outstanding Diver,Midwest Conference
2015,Daniel Goldstein,Outstanding Diver,Midwest Conference
2014,Daniel Goldstein,Outstanding Diver,Midwest Conference
2010,Nick Smith,Outstanding Diver,Midwest Conference
2009,Nick Smith,Outstanding Diver,Midwest Conference
2008,Garnet Smith,Outstanding Diver,Midwest Conference
2007,Garnet Smith,Outstanding Diver,Midwest Conference
2006,Daniel Shyrock,Outstanding Diver,Midwest Conference
2005,Daniel Shyrock,Outstanding Diver,Midwest Conference
2025,Evan Feilmeyer,Outstanding Newcomer,Midwest Conference
2023,Rommin Adl,Outstanding Newcomer,Midwest Conference
2020,Enrique Valero Ying,Outstanding Newcomer,Midwest Conference
2018,Mitch Sevier,Outstanding Newcomer,Midwest Conference
2017,Houfu Yan,Outstanding Newcomer,Midwest Conference
2024,Sam Larsen,Elite 20 Award,Midwest Conference
