Year,Name,Award,Level
2024,Lucas Fadden,All-America,National
2009,Henry Reich,CoSIDA Academic All-America,National
2004,Adam Booth,CoSIDA Academic All-America,National
2024,Lucas Fadden,USTFCCCA All-Academic,National
2024,Brian Goodell,USTFCCCA All-Academic,National
2024,Ian Clawson,USTFCCCA All-Academic,National
2014,Frank Canady,USTFCCCA All-Academic,National
2012,Gavin Warnock,USTFCCCA All-Academic,National
2024,Lucas Fadden,USTFCCCA All-Region,Region
2024,Brian Goodell,Outstanding Performer,Midwest Conference
2016,Nate Kolacia,Outstanding Performer,Midwest Conference
2015,Nate Kolacia,Outstanding Performer,Midwest Conference
2014,Frank Canady,Outstanding Performer,Midwest Conference
2013,Frank Canady,Outstanding Performer,Midwest Conference
2023,Brian Goodell,Men's Mixed Sports Athlete Year,Midwest Conference
