Year,Name,Award,Level,Team,Position
2004,Steve Wood,ALL-AMERICA,NATIONAL INDIVIDUAL AWARDS,Honorable Mention,Guard
2003,Steve Wood,ALL-AMERICA,NATIONAL INDIVIDUAL AWARDS,Honorable Mention,Guard
2025,Kai Te Huki,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,2nd Team,Guard
2024,Kai Te Huki (Rookie of the Year),All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Guard
2019,Vinny Curta,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Guard
2018,Vinny Curta,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Guard
2017,Vinny Curta,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Guard
2015,Jack Taylor,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,2nd Team,Guard
2014,Jack Taylor,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Guard
2012,Griffin Lentsch,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Guard
2009,John Grotberg,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Guard
2008,John Grotberg,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,2nd Team,Guard
2007,John Grotberg,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,2nd Team,Guard
2005,John Grotberg,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Guard
2004,Steve Wood,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,Guard
2004,Steve Wood,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,2nd Team,
2003,Steve Wood,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,Guard
2025,Dillon Gestring,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2025,Jackson Leone,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2025,Sean Murphy,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2025,Mitch Priest,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Jordon Ryan,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Max DeGeorge,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
