School,Gender,Sport,Year,Pct,CPct,Ranking
Grinnell,Men,Baseball,2014,0.553,0.75,2
St Norbert College,Men,Baseball,2014,0.6,0.625,3
Cornell College,Men,Baseball,2014,0.553,0.562,4
Illinois Col,Men,Baseball,2014,0.543,0.5,5
Monmouth IL,Men,Baseball,2014,0.471,0.438,6
Beloit,Men,Baseball,2014,0.455,0.375,7
Knox,Men,Baseball,2014,0.444,0.25,8
Macalester College,Men,Baseball,2014,0.368,0.25,9
Lawrence,Men,Baseball,2014,0.182,0.188,10
University of Chicago,Men,Baseball,2014,0.27,0,11
Ripon,Men,Baseball,2015,0.6,0.875,1
St Norbert College,Men,Baseball,2015,0.526,0.733,2
Grinnell,Men,Baseball,2015,0.486,0.688,3
Illinois Col,Men,Baseball,2015,0.472,0.562,4
Cornell College,Men,Baseball,2015,0.463,0.562,5
Monmouth IL,Men,Baseball,2015,0.472,0.5,6
Beloit,Men,Baseball,2015,0.545,0.4,7
Knox,Men,Baseball,2015,0.25,0.188,8
Macalester College,Men,Baseball,2015,0.389,0.167,9
Lawrence,Men,Baseball,2015,0.333,0.125,10
University of Chicago,Men,Baseball,2015,0.474,0,11
Grinnell,Men,Baseball,2016,0.789,0.875,1
Cornell College,Men,Baseball,2016,0.579,0.75,2
Beloit,Men,Baseball,2016,0.659,0.625,3
St Norbert College,Men,Baseball,2016,0.575,0.625,4
Ripon,Men,Baseball,2016,0.314,0.562,5
Monmouth IL,Men,Baseball,2016,0.514,0.438,6
Knox,Men,Baseball,2016,0.353,0.312,7
Macalester College,Men,Baseball,2016,0.486,0.3,8
Lawrence,Men,Baseball,2016,0.306,0.278,9
Illinois Col,Men,Baseball,2016,0.417,0.125,10
University of Chicago,Men,Baseball,2016,0.486,0,11
St Norbert College,Men,Baseball,2017,0.698,0.882,1
Grinnell,Men,Baseball,2017,0.556,0.65,2
Beloit,Men,Baseball,2017,0.496,0.63,3
Macalester College,Men,Baseball,2017,0.605,0.6,4
Cornell College,Men,Baseball,2017,0.487,0.6,5
Knox,Men,Baseball,2017,0.5,0.474,6
Monmouth IL,Men,Baseball,2017,0.457,0.45,7
Ripon,Men,Baseball,2017,0.257,0.412,8
Illinois Col,Men,Baseball,2017,0.324,0.3,9
Lawrence,Men,Baseball,2017,0.157,0.094,10
University of Chicago,Men,Baseball,2017,0.595,0,11
St Norbert College,Men,Baseball,2018,0.615,0.833,1
Monmouth IL,Men,Baseball,2018,0.67,0.7,2
Grinnell,Men,Baseball,2018,0.436,0.684,3
Macalester College,Men,Baseball,2018,0.553,0.55,4
Cornell College,Men,Baseball,2018,0.447,0.526,5
Lawrence,Men,Baseball,2018,0.417,0.5,6
Ripon,Men,Baseball,2018,0.375,0.438,7
Illinois Col,Men,Baseball,2018,0.514,0.421,8
Beloit,Men,Baseball,2018,0.526,0.375,9
Knox,Men,Baseball,2018,0.314,0.158,10
University of Chicago,Men,Baseball,2018,0.667,0,11
University of Chicago,Men,Baseball,2019,0.667,0.688,1
Monmouth IL,Men,Baseball,2019,0.595,0.625,2
Ripon,Men,Baseball,2019,0.571,0.625,3
St Norbert College,Men,Baseball,2019,0.528,0.625,4
Cornell College,Men,Baseball,2019,0.578,0.562,5
Macalester College,Men,Baseball,2019,0.487,0.5,6
Grinnell,Men,Baseball,2019,0.412,0.5,7
Illinois Col,Men,Baseball,2019,0.5,0.438,8
Beloit,Men,Baseball,2019,0.471,0.438,9
Knox,Men,Baseball,2019,0.225,0.375,10
Lawrence,Men,Baseball,2019,0.179,0.125,11
Beloit,Men,Baseball,2020,0.889,0,1
University of Chicago,Men,Baseball,2020,0.833,0,2
St Norbert College,Men,Baseball,2020,0.667,0,3
Grinnell,Men,Baseball,2020,0.625,0,4
Monmouth IL,Men,Baseball,2020,0.6,0,5
Macalester College,Men,Baseball,2020,0.333,0,6
Knox,Men,Baseball,2020,0.25,0,7
Lawrence,Men,Baseball,2020,0.25,0,7
Cornell College,Men,Baseball,2020,0.222,0,8
Illinois Col,Men,Baseball,2020,0.222,0,8
Ripon,Men,Baseball,2020,0,0,9
Beloit,Men,Baseball,2021,0.8,0.864,1
University of Chicago,Men,Baseball,2021,0.655,0.7,2
Grinnell,Men,Baseball,2021,0.667,0.667,3
Illinois Col,Men,Baseball,2021,0.525,0.667,4
Monmouth IL,Men,Baseball,2021,0.607,0.625,5
St Norbert College,Men,Baseball,2021,0.515,0.5,6
Cornell College,Men,Baseball,2021,0.368,0.458,7
Lawrence,Men,Baseball,2021,0.441,0.333,8
Macalester College,Men,Baseball,2021,0.308,0.333,9
Ripon,Men,Baseball,2021,0.216,0.167,10
Knox,Men,Baseball,2021,0.118,0.083,11
Lawrence,Men,Baseball,2022,0.667,0.75,1
University of Chicago,Men,Baseball,2022,0.59,0.696,2
St Norbert College,Men,Baseball,2022,0.5,0.583,3
Ripon,Men,Baseball,2022,0.465,0.542,4
Illinois Col,Men,Baseball,2022,0.415,0.5,5
Beloit,Men,Baseball,2022,0.41,0.5,6
Cornell College,Men,Baseball,2022,0.425,0.458,7
Grinnell,Men,Baseball,2022,0.4,0.458,8
Macalester College,Men,Baseball,2022,0.364,0.4,9
Monmouth IL,Men,Baseball,2022,0.359,0.333,10
Knox,Men,Baseball,2022,0.229,0.261,11
Beloit,Men,Baseball,2023,0.689,0.833,1
Ripon,Men,Baseball,2023,0.581,0.625,2
University of Chicago,Men,Baseball,2023,0.581,0.625,2
Grinnell,Men,Baseball,2023,0.462,0.583,3
Cornell College,Men,Baseball,2023,0.525,0.458,4
Monmouth IL,Men,Baseball,2023,0.41,0.458,5
Illinois Col,Men,Baseball,2023,0.375,0.458,6
Macalester College,Men,Baseball,2023,0.5,0.45,7
Lawrence,Men,Baseball,2023,0.405,0.417,8
St Norbert College,Men,Baseball,2023,0.3,0.25,9
Knox,Men,Baseball,2023,0.179,0.042,10
Lawrence,Men,Baseball,2024,0.738,0.87,1
University of Chicago,Men,Baseball,2024,0.442,0.667,2
Beloit,Men,Baseball,2024,0.585,0.583,3
Cornell College,Men,Baseball,2024,0.561,0.542,4
Ripon,Men,Baseball,2024,0.417,0.478,5
Monmouth IL,Men,Baseball,2024,0.447,0.417,6
Grinnell,Men,Baseball,2024,0.41,0.391,7
Illinois Col,Men,Baseball,2024,0.538,0.348,8
St Norbert College,Men,Baseball,2024,0.375,0.333,9
Knox,Men,Baseball,2024,0.289,0.208,10
Macalester College,Men,Baseball,2024,0.237,0.15,11
University of Chicago,Men,Baseball,2025,0.75,0,1
Illinois Col,Men,Baseball,2025,0.5,0,2
Monmouth IL,Men,Baseball,2025,0.5,0,2
Beloit,Men,Baseball,2025,0,0,3
Cornell College,Men,Baseball,2025,0,0,3
Grinnell,Men,Baseball,2025,0,0,3
Knox,Men,Baseball,2025,0,0,3
Lawrence,Men,Baseball,2025,0,0,3
Macalester College,Men,Baseball,2025,0,0,3
Ripon,Men,Baseball,2025,0,0,3
St Norbert College,Men,Baseball,2025,0,0,3
Grinnell,Men,Basketball,1900,0.571,0,1
Grinnell,Men,Basketball,1901,0.5,0,1
Grinnell,Men,Basketball,1902,0.583,0,1
Grinnell,Men,Basketball,1903,0.636,0,1
Grinnell,Men,Basketball,1904,0.727,0,1
Grinnell,Men,Basketball,1905,0.667,0,1
Grinnell,Men,Basketball,1906,0.818,0,1
Grinnell,Men,Basketball,1907,0.824,0,1
Grinnell,Men,Basketball,1908,0.923,0,1
Grinnell,Men,Basketball,1909,0.923,0,1
Grinnell,Men,Basketball,1910,0.929,0,1
Grinnell,Men,Basketball,1911,0.692,0,1
Grinnell,Men,Basketball,1912,1,0,1
Grinnell,Men,Basketball,1913,0.909,0,1
Grinnell,Men,Basketball,1914,0.714,0,1
Grinnell,Men,Basketball,1915,0.5,0,1
Grinnell,Men,Basketball,1916,0.643,0,1
Grinnell,Men,Basketball,1917,0.636,0,1
Grinnell,Men,Basketball,1918,0.545,0.625,1
Grinnell,Men,Basketball,1919,0.286,0.1,1
Grinnell,Men,Basketball,1920,0.333,0.143,1
Grinnell,Men,Basketball,1921,0.263,0.125,1
Grinnell,Men,Basketball,1922,0.188,0.188,1
Grinnell,Men,Basketball,1923,0.222,0.25,1
Grinnell,Men,Basketball,1924,0.235,0.25,1
Grinnell,Men,Basketball,1925,0.067,0.071,1
Grinnell,Men,Basketball,1926,0.118,0.133,1
Grinnell,Men,Basketball,1927,0.316,0.333,1
Grinnell,Men,Basketball,1928,0.353,0,1
Lake Forest,Men,Basketball,1929,0.52,0.625,1
Grinnell,Men,Basketball,1929,0.4,0.5,2
Grinnell,Men,Basketball,1930,0.467,0.375,1
Grinnell,Men,Basketball,1931,0.5,0.625,1
Grinnell,Men,Basketball,1932,0.312,0.3,1
Grinnell,Men,Basketball,1933,0.533,0.5,1
Grinnell,Men,Basketball,1934,0.579,0.583,1
Grinnell,Men,Basketball,1935,0.389,0.333,1
Grinnell,Men,Basketball,1936,0.444,0.583,1
Grinnell,Men,Basketball,1937,0.526,0.5,1
Grinnell,Men,Basketball,1938,0.667,0.571,1
Lake Forest,Men,Basketball,1939,0.52,0.625,1
Grinnell,Men,Basketball,1939,0.4,0.583,2
Grinnell,Men,Basketball,1940,0.647,0.833,1
Grinnell,Men,Basketball,1941,0.5,0.5,1
Grinnell,Men,Basketball,1942,0.312,0.571,1
Grinnell,Men,Basketball,1945,0.333,0.3,1
Lake Forest,Men,Basketball,1946,0.52,0.625,1
Grinnell,Men,Basketball,1946,0.4,0.385,2
Grinnell,Men,Basketball,1947,0.5,0.385,1
Grinnell,Men,Basketball,1948,0.706,0.692,1
Lake Forest,Men,Basketball,1948,0.52,0.625,2
Grinnell,Men,Basketball,1949,0.611,0.692,1
Lake Forest,Men,Basketball,1950,0.52,0.625,1
Grinnell,Men,Basketball,1950,0.444,0.462,2
Lake Forest,Men,Basketball,1951,0.52,0.625,1
Grinnell,Men,Basketball,1951,0.278,0.231,2
Lake Forest,Men,Basketball,1952,0.52,0.625,1
Grinnell,Men,Basketball,1952,0.556,0.583,2
Grinnell,Men,Basketball,1953,0.556,0.667,1
Lake Forest,Men,Basketball,1953,0.52,0.625,2
Lake Forest,Men,Basketball,1954,0.52,0.625,1
Grinnell,Men,Basketball,1954,0.619,0.5,2
Lake Forest,Men,Basketball,1955,0.52,0.625,1
Grinnell,Men,Basketball,1955,0.55,0.562,2
Lake Forest,Men,Basketball,1956,0.52,0.625,1
Grinnell,Men,Basketball,1956,0.45,0.5,2
Grinnell,Men,Basketball,1957,0.381,0.375,1
Grinnell,Men,Basketball,1958,0.619,0.75,1
Lake Forest,Men,Basketball,1958,0.52,0.625,2
Grinnell,Men,Basketball,1959,0.409,0.444,1
Lake Forest,Men,Basketball,1960,0.52,0.625,1
Grinnell,Men,Basketball,1960,0.524,0.5,2
Grinnell,Men,Basketball,1961,0.818,0.889,1
Lake Forest,Men,Basketball,1961,0.52,0.625,2
Lake Forest,Men,Basketball,1962,0.52,0.625,1
Grinnell,Men,Basketball,1962,0.6,0.611,2
Lake Forest,Men,Basketball,1963,0.52,0.625,1
Grinnell,Men,Basketball,1963,0.545,0.5,2
Lake Forest,Men,Basketball,1964,0.52,0.625,1
Grinnell,Men,Basketball,1964,0.318,0.278,2
Lake Forest,Men,Basketball,1965,0.52,0.625,1
Grinnell,Men,Basketball,1965,0.136,0.056,2
Lake Forest,Men,Basketball,1966,0.52,0.625,1
Grinnell,Men,Basketball,1966,0.091,0.111,2
Lake Forest,Men,Basketball,1967,0.52,0.625,1
Grinnell,Men,Basketball,1967,0.091,0.111,2
Lake Forest,Men,Basketball,1968,0.52,0.625,1
Grinnell,Men,Basketball,1968,0.227,0.167,2
Lake Forest,Men,Basketball,1969,0.52,0.625,1
Grinnell,Men,Basketball,1969,0.364,0.389,2
Lake Forest,Men,Basketball,1970,0.52,0.625,1
Grinnell,Men,Basketball,1970,0.091,0.111,2
Grinnell,Men,Basketball,1971,0.238,0.222,1
Lake Forest,Men,Basketball,1972,0.52,0.625,1
Grinnell,Men,Basketball,1972,0.095,0.143,2
Lake Forest,Men,Basketball,1973,0.52,0.625,1
Grinnell,Men,Basketball,1973,0.2,0.071,2
Lake Forest,Men,Basketball,1974,0.52,0.625,1
Grinnell,Men,Basketball,1974,0.364,0.375,2
Lake Forest,Men,Basketball,1975,0.52,0.625,1
Grinnell,Men,Basketball,1975,0.3,0.375,2
Lake Forest,Men,Basketball,1976,0.52,0.625,1
Grinnell,Men,Basketball,1976,0.048,0,2
Lake Forest,Men,Basketball,1977,0.52,0.625,1
Grinnell,Men,Basketball,1977,0.136,0.2,2
Lake Forest,Men,Basketball,1978,0.52,0.625,1
Grinnell,Men,Basketball,1978,0.182,0.2,2
Lake Forest,Men,Basketball,1979,0.52,0.625,1
Grinnell,Men,Basketball,1979,0,0,2
Lake Forest,Men,Basketball,1980,0.52,0.625,1
Grinnell,Men,Basketball,1980,0.136,0.143,2
Lake Forest,Men,Basketball,1981,0.52,0.625,1
Grinnell,Men,Basketball,1981,0.091,0,2
Lake Forest,Men,Basketball,1982,0.52,0.625,1
Grinnell,Men,Basketball,1982,0.318,0.357,2
Knox,Men,Basketball,1982,0.16,0.062,3
Lake Forest,Men,Basketball,1983,0.52,0.625,1
Grinnell,Men,Basketball,1983,0.273,0.214,2
Knox,Men,Basketball,1983,0.16,0.062,3
Lake Forest,Men,Basketball,1984,0.52,0.625,1
Grinnell,Men,Basketball,1984,0.409,0.5,2
Knox,Men,Basketball,1984,0.16,0.062,3
Lake Forest,Men,Basketball,1985,0.52,0.625,1
Grinnell,Men,Basketball,1985,0.318,0.286,2
Knox,Men,Basketball,1985,0.16,0.062,3
Lake Forest,Men,Basketball,1986,0.52,0.625,1
Grinnell,Men,Basketball,1986,0.227,0.214,2
Knox,Men,Basketball,1986,0.16,0.062,3
Lake Forest,Men,Basketball,1987,0.52,0.625,1
Knox,Men,Basketball,1987,0.16,0.062,2
Grinnell,Men,Basketball,1987,0.045,0,3
Lake Forest,Men,Basketball,1988,0.52,0.625,1
Grinnell,Men,Basketball,1988,0.182,0.071,2
Knox,Men,Basketball,1988,0.16,0.062,3
Lake Forest,Men,Basketball,1989,0.52,0.625,1
Grinnell,Men,Basketball,1989,0.136,0.143,2
Knox,Men,Basketball,1989,0.16,0.062,3
Lake Forest,Men,Basketball,1990,0.52,0.625,1
Grinnell,Men,Basketball,1990,0.318,0.214,2
Knox,Men,Basketball,1990,0.16,0.062,3
Lake Forest,Men,Basketball,1991,0.52,0.625,1
Grinnell,Men,Basketball,1991,0.5,0.385,2
Knox,Men,Basketball,1991,0.16,0.062,3
Lake Forest,Men,Basketball,1992,0.52,0.625,1
Grinnell,Men,Basketball,1992,0.455,0.357,2
Knox,Men,Basketball,1992,0.16,0.062,3
Lake Forest,Men,Basketball,1993,0.52,0.625,1
Grinnell,Men,Basketball,1993,0.619,0.571,2
Knox,Men,Basketball,1993,0.16,0.062,3
Grinnell,Men,Basketball,1994,0.667,0.643,1
Lake Forest,Men,Basketball,1994,0.52,0.625,2
Knox,Men,Basketball,1994,0.16,0.062,3
Grinnell,Men,Basketball,1995,0.68,0.786,1
Lake Forest,Men,Basketball,1995,0.52,0.625,2
Knox,Men,Basketball,1995,0.16,0.062,3
Lake Forest,Men,Basketball,1996,0.52,0.625,1
Grinnell,Men,Basketball,1996,0.478,0.571,2
Knox,Men,Basketball,1996,0.16,0.062,3
Lake Forest,Men,Basketball,1997,0.52,0.625,1
Grinnell,Men,Basketball,1997,0.455,0.385,2
Knox,Men,Basketball,1997,0.16,0.062,3
Lake Forest,Men,Basketball,1998,0.52,0.625,1
University of Chicago,Men,Basketball,1998,0.708,0.615,2
Grinnell,Men,Basketball,1998,0.5,0.438,3
Knox,Men,Basketball,1998,0.16,0.062,4
Grinnell,Men,Basketball,1999,0.75,0.727,1
Lake Forest,Men,Basketball,1999,0.52,0.625,2
University of Chicago,Men,Basketball,1999,0.708,0.615,3
Knox,Men,Basketball,1999,0.16,0.062,4
Grinnell,Men,Basketball,2000,0.667,0.75,1
Lake Forest,Men,Basketball,2000,0.52,0.625,2
University of Chicago,Men,Basketball,2000,0.708,0.615,3
Macalester College,Men,Basketball,2000,0.36,0.375,4
Knox,Men,Basketball,2000,0.16,0.062,5
Lake Forest,Men,Basketball,2001,0.52,0.625,1
University of Chicago,Men,Basketball,2001,0.708,0.615,2
Grinnell,Men,Basketball,2001,0.5,0.562,3
Knox,Men,Basketball,2001,0.16,0.062,4
Grinnell,Men,Basketball,2002,0.76,0.812,1
Lake Forest,Men,Basketball,2002,0.52,0.625,2
University of Chicago,Men,Basketball,2002,0.708,0.615,3
Macalester College,Men,Basketball,2002,0.36,0.375,4
Knox,Men,Basketball,2002,0.16,0.062,5
Grinnell,Men,Basketball,2003,0.75,0.688,1
Lake Forest,Men,Basketball,2003,0.52,0.625,2
University of Chicago,Men,Basketball,2003,0.708,0.615,3
Macalester College,Men,Basketball,2003,0.36,0.375,4
Beloit,Men,Basketball,2003,0.36,0.25,5
Knox,Men,Basketball,2003,0.16,0.062,6
Lake Forest,Men,Basketball,2004,0.52,0.625,1
University of Chicago,Men,Basketball,2004,0.708,0.615,2
Macalester College,Men,Basketball,2004,0.36,0.375,3
Grinnell,Men,Basketball,2004,0.348,0.312,4
Beloit,Men,Basketball,2004,0.36,0.25,5
Knox,Men,Basketball,2004,0.16,0.062,6
Grinnell,Men,Basketball,2005,0.609,0.625,1
Lake Forest,Men,Basketball,2005,0.52,0.625,2
University of Chicago,Men,Basketball,2005,0.708,0.615,3
Macalester College,Men,Basketball,2005,0.36,0.375,4
Beloit,Men,Basketball,2005,0.36,0.25,5
Knox,Men,Basketball,2005,0.16,0.062,6
Grinnell,Men,Basketball,2006,0.708,0.812,1
Lake Forest,Men,Basketball,2006,0.52,0.625,2
University of Chicago,Men,Basketball,2006,0.708,0.615,3
Macalester College,Men,Basketball,2006,0.36,0.375,4
Beloit,Men,Basketball,2006,0.36,0.25,5
Knox,Men,Basketball,2006,0.16,0.062,6
St Norbert College,Men,Basketball,2007,0.76,0.833,1
Grinnell,Men,Basketball,2007,0.667,0.688,2
Lake Forest,Men,Basketball,2007,0.52,0.625,3
University of Chicago,Men,Basketball,2007,0.708,0.615,4
Macalester College,Men,Basketball,2007,0.36,0.375,5
Beloit,Men,Basketball,2007,0.36,0.25,6
Knox,Men,Basketball,2007,0.16,0.062,7
St Norbert College,Men,Basketball,2008,0.76,0.833,1
Grinnell,Men,Basketball,2008,0.72,0.812,2
Lake Forest,Men,Basketball,2008,0.52,0.625,3
University of Chicago,Men,Basketball,2008,0.708,0.615,4
Macalester College,Men,Basketball,2008,0.36,0.375,5
Beloit,Men,Basketball,2008,0.36,0.25,6
