School,Gender,Sport,Year,Pct,CPct,Ranking
Grinnell,Men,Baseball,1868,1,0,1
Grinnell,Men,Baseball,1870,0.5,0,1
Grinnell,Men,Baseball,1871,0.5,0,1
Grinnell,Men,Baseball,1873,1,0,1
Grinnell,Men,Baseball,1874,0,0,1
Grinnell,Men,Baseball,1879,0.5,0,1
Grinnell,Men,Baseball,1881,0,0,1
Grinnell,Men,Baseball,1882,1,0,1
Grinnell,Men,Baseball,1883,0,0,1
Grinnell,Men,Baseball,1886,0.5,0,1
Grinnell,Men,Baseball,1887,0.333,0,1
Grinnell,Men,Baseball,1888,0.333,0,1
Grinnell,Men,Baseball,1889,0.5,0,1
Grinnell,Men,Baseball,1891,0.333,0,1
Grinnell,Men,Baseball,1892,0.722,0,1
Grinnell,Men,Baseball,1893,0.364,0,1
Grinnell,Men,Baseball,1894,0.583,0,1
Grinnell,Men,Baseball,1895,0.625,0,1
Grinnell,Men,Baseball,1896,0.471,0,1
Grinnell,Men,Baseball,1897,0.5,0,1
Grinnell,Men,Baseball,1898,0.25,0,1
Grinnell,Men,Baseball,1899,0.885,0,1
Grinnell,Men,Baseball,1900,0.5,0,1
Grinnell,Men,Baseball,1901,0.429,0,1
Grinnell,Men,Baseball,1902,0.636,0,1
Grinnell,Men,Baseball,1903,0.727,0,1
Grinnell,Men,Baseball,1904,0.412,0,1
Grinnell,Men,Baseball,1905,0.429,0,1
Grinnell,Men,Baseball,1906,0.5,0,1
Grinnell,Men,Baseball,1907,0.556,0,1
Grinnell,Men,Baseball,1908,0.455,0,1
Grinnell,Men,Baseball,1909,0.75,0,1
Grinnell,Men,Baseball,1910,0.643,0,1
Grinnell,Men,Baseball,1911,0.263,0,1
Grinnell,Men,Baseball,1912,0.5,0,1
Grinnell,Men,Baseball,1913,0.333,0,1
Grinnell,Men,Baseball,1914,0.5,0,1
Grinnell,Men,Baseball,1915,0.375,0,1
Grinnell,Men,Baseball,1916,0.3,0,1
Grinnell,Men,Baseball,1957,0.364,0.429,1
Grinnell,Men,Baseball,1958,0.231,0.5,1
Grinnell,Men,Baseball,1959,0.636,0.571,1
Grinnell,Men,Baseball,1960,0.385,0.5,1
Grinnell,Men,Baseball,1961,0.567,0.5,1
Grinnell,Men,Baseball,1962,0.5,0.5,1
Grinnell,Men,Baseball,1963,0.25,0.333,1
Grinnell,Men,Baseball,1964,0.267,0.364,1
Grinnell,Men,Baseball,1965,0.333,0.4,1
Grinnell,Men,Baseball,1966,0.357,0.25,1
Grinnell,Men,Baseball,1967,0.333,0.364,1
Grinnell,Men,Baseball,1968,0.393,0.458,1
Grinnell,Men,Baseball,1969,0.235,0.333,1
Grinnell,Men,Baseball,1970,0.071,0.111,1
Grinnell,Men,Baseball,1971,0.067,0,1
Grinnell,Men,Baseball,1972,0,0,1
Grinnell,Men,Baseball,1973,0.167,0.25,1
Grinnell,Men,Baseball,1974,0.133,0.125,1
Grinnell,Men,Baseball,1975,0.167,0.167,1
Grinnell,Men,Baseball,1976,0.059,0,1
Knox,Men,Baseball,1976,0,0,2
Grinnell,Men,Baseball,1977,0.267,0,1
Knox,Men,Baseball,1977,0,0,2
Grinnell,Men,Baseball,1978,0.467,0.625,1
Knox,Men,Baseball,1978,0,0,2
Grinnell,Men,Baseball,1979,0.148,0,1
Knox,Men,Baseball,1979,0,0,2
Grinnell,Men,Baseball,1980,0.25,0.5,1
Knox,Men,Baseball,1980,0,0,2
Grinnell,Men,Baseball,1981,0.125,0.125,1
Knox,Men,Baseball,1981,0,0,2
Grinnell,Men,Baseball,1982,0.25,0.214,1
Knox,Men,Baseball,1982,0,0,2
Grinnell,Men,Baseball,1983,0.125,0.083,1
Knox,Men,Baseball,1983,0,0,2
Grinnell,Men,Baseball,1984,0.125,0.067,1
Knox,Men,Baseball,1984,0,0,2
Grinnell,Men,Baseball,1985,0.125,0.133,1
Knox,Men,Baseball,1985,0,0,2
Grinnell,Men,Baseball,1986,0.278,0.357,1
Knox,Men,Baseball,1986,0,0,2
Grinnell,Men,Baseball,1987,0.267,0.267,1
Knox,Men,Baseball,1987,0,0,2
Grinnell,Men,Baseball,1988,0.368,0.467,1
Knox,Men,Baseball,1988,0,0,2
Grinnell,Men,Baseball,1989,0.235,0.267,1
Knox,Men,Baseball,1989,0,0,2
Grinnell,Men,Baseball,1990,0.111,0.133,1
Knox,Men,Baseball,1990,0,0,2
Grinnell,Men,Baseball,1991,0.2,0.231,1
Knox,Men,Baseball,1991,0,0,2
Grinnell,Men,Baseball,1992,0.13,0.067,1
Knox,Men,Baseball,1992,0,0,2
Grinnell,Men,Baseball,1993,0.227,0.214,1
Knox,Men,Baseball,1993,0,0,2
Grinnell,Men,Baseball,1994,0.31,0.467,1
Knox,Men,Baseball,1994,0,0,2
Grinnell,Men,Baseball,1995,0.242,0.231,1
Knox,Men,Baseball,1995,0,0,2
Grinnell,Men,Baseball,1996,0.222,0.267,1
Knox,Men,Baseball,1996,0,0,2
Grinnell,Men,Baseball,1997,0.097,0.067,1
Knox,Men,Baseball,1997,0,0,2
Grinnell,Men,Baseball,1998,0.3,0.25,1
University of Chicago,Men,Baseball,1998,0.5,0,2
Knox,Men,Baseball,1998,0,0,3
Grinnell,Men,Baseball,1999,0.406,0.333,1
University of Chicago,Men,Baseball,1999,1,0,2
Knox,Men,Baseball,1999,0,0,3
University of Chicago,Men,Baseball,2000,1,1,1
Grinnell,Men,Baseball,2000,0.581,0.75,2
Knox,Men,Baseball,2000,0,0,3
University of Chicago,Men,Baseball,2001,0.667,1,1
Grinnell,Men,Baseball,2001,0.613,0.583,2
Knox,Men,Baseball,2001,0,0,3
University of Chicago,Men,Baseball,2002,0.25,1,1
Grinnell,Men,Baseball,2002,0.387,0.417,2
Knox,Men,Baseball,2002,0,0,3
University of Chicago,Men,Baseball,2003,1,1,1
Grinnell,Men,Baseball,2003,0.393,0.417,2
Macalester College,Men,Baseball,2003,0.261,0.222,3
Knox,Men,Baseball,2003,0,0,4
Grinnell,Men,Baseball,2004,0.469,0.417,1
Macalester College,Men,Baseball,2004,0.361,0.333,2
University of Chicago,Men,Baseball,2004,0.714,0,3
Knox,Men,Baseball,2004,0,0,4
Grinnell,Men,Baseball,2005,0.394,0.417,1
University of Chicago,Men,Baseball,2005,0.25,0,2
Knox,Men,Baseball,2005,0,0,3
Macalester College,Men,Baseball,2005,0,0,3
University of Chicago,Men,Baseball,2006,0.667,1,1
Grinnell,Men,Baseball,2006,0.471,0.5,2
Macalester College,Men,Baseball,2006,0.529,0.4,3
Knox,Men,Baseball,2006,0,0,4
University of Chicago,Men,Baseball,2007,0.583,1,1
Grinnell,Men,Baseball,2007,0.406,0.25,2
Macalester College,Men,Baseball,2007,0.378,0.25,3
Knox,Men,Baseball,2007,0,0,4
Grinnell,Men,Baseball,2008,0.485,0.5,1
Macalester College,Men,Baseball,2008,0.378,0.35,2
University of Chicago,Men,Baseball,2008,0.393,0,3
Knox,Men,Baseball,2008,0,0,4
Ripon,Men,Baseball,2008,0,0,4
St Norbert College,Men,Baseball,2008,0,0,4
Grinnell,Men,Baseball,2009,0.611,0.667,1
Macalester College,Men,Baseball,2009,0.5,0.5,2
University of Chicago,Men,Baseball,2009,0.603,0,3
St Norbert College,Men,Baseball,2009,0,0,4
Grinnell,Men,Baseball,2010,0.59,1,1
Macalester College,Men,Baseball,2010,0.562,0.4,2
University of Chicago,Men,Baseball,2010,0.529,0,3
Knox,Men,Baseball,2010,0.242,0,4
St Norbert College,Men,Baseball,2010,0,0,5
Grinnell,Men,Baseball,2011,0.5,0.917,1
Macalester College,Men,Baseball,2011,0.65,0.8,2
St Norbert College,Men,Baseball,2011,0.516,0.625,3
Knox,Men,Baseball,2011,0.25,0.25,4
Cornell College,Men,Baseball,2011,0.094,0.042,5
University of Chicago,Men,Baseball,2011,0.597,0,6
Beloit,Men,Baseball,2011,0,0,7
St Norbert College,Men,Baseball,2012,0.675,0.875,1
Grinnell,Men,Baseball,2012,0.459,0.667,2
Knox,Men,Baseball,2012,0.457,0.583,3
Beloit,Men,Baseball,2012,0.475,0.571,4
Macalester College,Men,Baseball,2012,0.487,0.45,5
Ripon,Men,Baseball,2012,0.472,0.438,6
Illinois Col,Men,Baseball,2012,0.618,0.417,7
Lawrence,Men,Baseball,2012,0.394,0.286,8
Cornell College,Men,Baseball,2012,0.2,0.208,9
University of Chicago,Men,Baseball,2012,0.657,0,10
Monmouth IL,Men,Baseball,2012,0.353,0,11
Ripon,Men,Baseball,2013,0.6,0.875,1
Knox,Men,Baseball,2013,0.629,0.812,2
St Norbert College,Men,Baseball,2013,0.675,0.75,3
Grinnell,Men,Baseball,2013,0.382,0.5,4
Cornell College,Men,Baseball,2013,0.353,0.467,5
Illinois Col,Men,Baseball,2013,0.406,0.438,6
Beloit,Men,Baseball,2013,0.344,0.438,7
Monmouth IL,Men,Baseball,2013,0.242,0.267,8
Macalester College,Men,Baseball,2013,0.282,0.2,9
Lawrence,Men,Baseball,2013,0.314,0.083,10
University of Chicago,Men,Baseball,2013,0.632,0,11
Ripon,Men,Baseball,2014,0.615,0.875,1
