Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 5, 2015 (Saturday)",1:00 PM,Away,Aurora University,"Aurora, Ill.",,,"W,53-20",Box ScoreRecap
"September 12, 2015 (Saturday)",6:00 PM,Home,Rose-Hulman Institute of Technology,"Jacksonville, Ill.",,,"L,33-51",Box ScoreRecap
"September 26, 2015 (Saturday)",1:00 PM,Home,St. Norbert College,"Jacksonville, Ill.",,,"L,2-21",Box ScoreRecap
"October 3, 2015 (Saturday)",1:00 PM,Away,Ripon College,"Ripon, Wis.",,,"L,36-37(OT)",Box ScoreRecap
"October 10, 2015 (Saturday)",1:00 PM,Away,Monmouth College,"Monmouth, Ill.",,,"L,7-35",Box ScoreRecap
"October 17, 2015 (Saturday)",1:00 PM,Home,Grinnell College,"Jacksonville, Ill.",,,"W,83-10",Box ScoreRecap
"October 24, 2015 (Saturday)",1:00 PM,Away,Lake Forest College,"Lake Forest, Ill.",,,"W,52-28",Box ScoreRecap
"October 31, 2015 (Saturday)",3:00 PM,Home,Knox College,"Jacksonville, Ill.",,,"W,59-13",Box ScoreRecap
"November 7, 2015 (Saturday)",1:00 PM,Away,Cornell College,"Mount Vernon, Iowa",,,"L,62-64",Box ScoreRecap
"November 14, 2015 (Saturday)",1:00 PM,Away,Carroll University,"Waukesha, Wis.",,,"W,30-27(OT)",Box ScoreRecap
