Year,School,Gender,Sport,Total Expense,Operating Expense,Undergrads
2007,Beloit College,Women,Golf,14458,3040,741
2007,Beloit College,Women,Soccer,54428,16852,741
2007,Beloit College,Women,Softball,72361,15213,741
2007,Beloit College,Women,Swimming,13364,10208,741
2007,Beloit College,Women,Tennis,6483,3180,741
2007,Beloit College,Women,Total,360224,113704,741
2007,Beloit College,Women,Volleyball,71417,15067,741
2008,Beloit College,Men,All Track Combined,56850,20910,561
2008,Beloit College,Men,Baseball,74799,26928,561
2008,Beloit College,Men,Basketball,66232,19516,561
2008,Beloit College,Men,Football,220661,26244,561
2008,Beloit College,Men,Golf,16264,5256,561
2008,Beloit College,Men,Soccer,84455,14016,561
2008,Beloit College,Men,Swimming,12323,9008,561
2008,Beloit College,Men,Tennis,14337,4743,561
2008,Beloit College,Men,Total,545921,126621,561
2008,Beloit College,Women,All Track Combined,57467,21525,727
2008,Beloit College,Women,Basketball,87260,23580,727
2008,Beloit College,Women,Soccer,53463,13041,727
2008,Beloit College,Women,Softball,80108,17792,727
2008,Beloit College,Women,Swimming,15155,11823,727
2008,Beloit College,Women,Tennis,7684,4090,727
2008,Beloit College,Women,Total,381963,112395,727
2008,Beloit College,Women,Volleyball,80826,20544,727
2009,Beloit College,Men,All Track Combined,59424,29197,567
2009,Beloit College,Men,Baseball,67453,19584,567
2009,Beloit College,Men,Basketball,66414,17237,567
2009,Beloit College,Men,Football,237580,41354,567
2009,Beloit College,Men,Golf,18344,7137,567
2009,Beloit College,Men,Soccer,85659,15080,567
2009,Beloit College,Men,Swimming,15139,9464,567
2009,Beloit College,Men,Tennis,16514,6330,567
2009,Beloit College,Men,Total,566527,145383,567
2009,Beloit College,Women,All Track Combined,51800,21624,749
2009,Beloit College,Women,Basketball,84975,20878,749
2009,Beloit College,Women,Soccer,56061,15477,749
2009,Beloit College,Women,Softball,76218,16614,749
2009,Beloit College,Women,Swimming,21268,15456,749
2009,Beloit College,Women,Tennis,9560,5772,749
2009,Beloit College,Women,Total,378132,113080,749
2009,Beloit College,Women,Volleyball,78250,17259,749
2010,Beloit College,Men,All Track Combined,64110,33972,560
2010,Beloit College,Men,Baseball,92342,44370,560
2010,Beloit College,Men,Basketball,84191,34542,560
2010,Beloit College,Men,Football,222496,45416,560
2010,Beloit College,Men,Golf,16455,5240,560
2010,Beloit College,Men,Soccer,80023,15720,560
2010,Beloit College,Men,Swimming,16246,10336,560
