Unnamed: 0,Time,Athletes,Meet,Meet Date
,12:42.84,"Ahrens, Schmiechen, Fujiwara, Young",Wartburg Qualifier,"Mar 3, 2017"
,13:21.61,"Arredondo, Schmiechen, Teagle, Rix",Midwest Indoor Track & Field Championships,"Feb 24, 2017"
