Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Bresnahan, Cara",SO-2,4.66m,"15' 3.5""",Midwest Indoor Track & Field Championships,"Feb 24, 2017",0.0
,"Bresnahan, Cara",SO-2,4.49m,"14' 8.75""",Wartburg Indoor Invite,"Feb 18, 2017",0.0
,"Martin, Yolana",FR-1,4.45m,"14' 7.25""",Midwest Indoor Track & Field Championships,"Feb 24, 2017",0.0
,"Bresnahan, Cara",SO-2,4.45m,"14' 7.25""",2017 Darren Young Classic,"Feb 11, 2017",0.0
,"Bresnahan, Cara",SO-2,4.41m,"14' 5.75""",Midwest Indoor Track & Field Championships,"Feb 24, 2017",0.0
,"Martin, Yolana",FR-1,4.41m,"14' 5.75""",Midwest Indoor Track & Field Championships,"Feb 24, 2017",0.0
,"Bresnahan, Cara",SO-2,4.39m,"14' 5""",Wartburg Indoor Invite,"Feb 18, 2017",0.0
,"Martin, Yolana",FR-1,4.38m,"14' 4.5""",Midwest Indoor Track & Field Championships,"Feb 24, 2017",0.0
,"Bresnahan, Cara",SO-2,4.27m,"14' 0.25""",Wartburg Indoor Invite,"Feb 18, 2017",0.0
,"Bresnahan, Cara",SO-2,4.15m,"13' 7.5""",Midwest Indoor Track & Field Championships,"Feb 24, 2017",0.0
,"Bresnahan, Cara",SO-2,4.01m,"13' 2""",2017 Darren Young Classic,"Feb 11, 2017",0.0
,"Bresnahan, Cara",SO-2,3.73m,"12' 3""",2017 Darren Young Classic,"Feb 11, 2017",0.0
