Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Maddaus, Jordan",SO-2,28.03,2017 Darren Young Classic,"Feb 11, 2017",0.0
,"Martin, Yolana",FR-1,29.3,2017 Darren Young Classic,"Feb 11, 2017",0.0
,"Nguyen, Lynn",FR-1,29.41,2017 Darren Young Classic,"Feb 11, 2017",0.0
,"McMillan, Autumn",FR-1,29.8,Wartburg Indoor Invite,"Feb 18, 2017",0.0
,"Bambi, Simona",FR-1,29.91,Wartburg Indoor Invite,"Feb 18, 2017",0.0
,"Nguyen, Lynn",,30.02,2017 Grinnell Indoor Invitational,"Feb 4, 2017",0.0
,"Bresnahan, Cara",SO-2,30.06,2017 Darren Young Classic,"Feb 11, 2017",0.0
,"Schmiechen, Alex",JR-3,30.18,Midwest Indoor Track & Field Championships,"Feb 24, 2017",0.0
,"Bambi, Simona",FR-1,30.18,Midwest Indoor Track & Field Championships,"Feb 24, 2017",0.0
,"Alvarez, Valencia",FR-1,30.21,Midwest Indoor Track & Field Championships,"Feb 24, 2017",0.0
,"Bambi, Simona",,30.22,2017 Grinnell Indoor Invitational,"Feb 4, 2017",0.0
,"Schmiechen, Alex",JR-3,30.22,2017 Grinnell Indoor Invitational,"Feb 4, 2017",0.0
,"Alvarez, Valencia",,30.34,2017 Grinnell Indoor Invitational,"Feb 4, 2017",0.0
,"Holtzman, Gwen",SO-2,30.55,2017 Grinnell Indoor Invitational,"Feb 4, 2017",0.0
,"Schmiechen, Alex",JR-3,30.63,Wartburg Indoor Invite,"Feb 18, 2017",0.0
,"McCusker, Katie Lou",FR-1,32.23,Wartburg Indoor Invite,"Feb 18, 2017",0.0
,"Tombou, Kadiata",SO-2,32.39,Wartburg Indoor Invite,"Feb 18, 2017",0.0
,"McCusker, Katie Lou",FR-1,33.06,2017 Darren Young Classic,"Feb 11, 2017",0.0
,"Mystic, Selah",FR-1,33.76,2017 Darren Young Classic,"Feb 11, 2017",0.0
