Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Clennon, Emily",,13.37,Kip Janvrin Open,"Apr 28, 2011",1.7
,"Clennon, Emily",,13.41,Midwest Conference Championship,"May 13, 2011",1.3
,"Clennon, Emily",,13.48,Dick Young Classic,"Apr 23, 2011",0.2
,"Clennon, Emily",,13.6,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",1.3
,"Ajinjeru, Christine",,13.67,Cornell Invitational,"Apr 9, 2011",-0.9
,"Clennon, Emily",,13.72,Dick Young Classic,"Apr 23, 2011",0.0
,"Clennon, Emily",,13.76,Cornell Invitational,"Apr 9, 2011",-0.9
,"Mitchell, Gabrielle",,14.43,Monmouth Scots Invite,"May 7, 2011",1.5
,"Mitchell, Gabrielle",,15.01,Cornell Invitational,"Apr 9, 2011",-2.8
,"Mitchell, Gabrielle",,15.09,Dick Young Classic,"Apr 23, 2011",0.0
,"Hasan, Nadia",,15.47,Monmouth Scots Invite,"May 7, 2011",1.6
,"Hasan, Nadia",,15.5,Dick Young Classic,"Apr 23, 2011",0.3
,"Hasan, Nadia",,15.58,Midwest Conference Championship,"May 13, 2011",1.3
,"Hasan, Nadia",,16.03,Cornell Invitational,"Apr 9, 2011",-2.0
,"Nahib, Nilob",,16.45,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",0.7
,"Nahib, Nilob",,16.48,Cornell Invitational,"Apr 9, 2011",-2.0
,"Fenster, Katie",,16.72,Dick Young Classic,"Apr 23, 2011",0.0
