Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Graber, Sachi",SR,2.85m,"9' 4.25""",Monmouth Scots Invite,"May 7, 2011"
,"Graber, Sachi",SR,2.80m,"9' 2.25""",Dick Young Classic,"Apr 23, 2011"
,"Graber, Sachi",SR,2.78m,"9' 1.5""",Midwest Conference Championship,"May 13, 2011"
,"Graber, Sachi",SR,2.75m,"9' 0.25""",Kip Janvrin Open,"Apr 28, 2011"
,"Graber, Sachi",SR,2.65m,"8' 8.25""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Graber, Sachi",SR,2.60m,"8' 6.25""",Kip Janvrin Open,"Apr 28, 2011"
,"Graber, Sachi",SR,2.59m,"8' 6""",Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Graber, Sachi",SR,2.59m,"8' 6""",Cornell Invitational,"Apr 9, 2011"
,"Graber, Sachi",SR,2.45m,"8' 0.5""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"De Geus, Noelle",,2.10m,"6' 10.75""",Monmouth Scots Invite,"May 7, 2011"
,"De Geus, Noelle",,1.98m,"6' 6""",Cornell Invitational,"Apr 9, 2011"
,"De Geus, Noelle",,1.90m,"6' 2.75""",Dick Young Classic,"Apr 23, 2011"
