0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2014-15,16,1495,373,302,178,89,87,-,8,-,-,2,168-233,.419,93.4
2015-16,12,1063,-,275,166,91,81,-,6,-,-,1,181-182,.499,88.6
2016-17,4,361,-,-,184,83,83,-,3,-,-,1,45-96,.319,90.3
2017-18,9,803,-,262,174,91,84,-,5,-,-,2,93-191,.327,89.2
Totals,41,3722,373,262,166,83,81,-,22,-,-,6,487-702,.410,90.8
