0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2014-15,18,1692,383,292,177,87,86,-,9,-,-,2,141-260,.352,94.0
2015-16,12,1081,-,281,170,84,84,-,6,-,-,1,159-204,.438,90.1
2016-17,9,800,-,277,171,85,84,-,5,-,-,1,119-136,.467,88.9
2017-18,1,84,-,-,-,-,84,-,1,-,-,-,-,-,84.0
Totals,40,3657,383,277,170,84,84,-,21,-,-,4,419-600,.411,91.4
