0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Evan Bunis,13,1010,68,1,9,1,3,5,+6,77.7,-,-,-
JP DeFranco,12,937,66,1,8,1,3,3,+7,78.1,-,-,-
Zach McGriff,12,963,68,1,8,-,2,4,+9,80.3,-,-,-
Rockne DeCoster,12,1032,77,-,8,-,-,1,+14,86.0,-,-,-
Nirabh Koirala,11,948,76,-,8,-,-,2,+15,86.2,-,-,-
Jacob Van Oort,-,-,-,-,-,-,-,-,-,-,-,-,-
FOUR-PLAYER TEAM,12,3842,279,3,9,2,8,15,+34,320.2,,,
