Unnamed: 0,Time,Athletes,Meet,Meet Date
,3:32.26,"Jacobson, O'Reilly, Anderson, Baumann",Midwest Conference Outdoor Championships,"May 11, 2018"
,3:35.88,"O'Reilly, O'Reilly, Anderson, Baumann",2018 Dick Young Invite,"Apr 21, 2018"
,3:40.65,"Geiman, Jacobson, Anderson, O'Reilly",Cornell Invitational,"Apr 4, 2018"
