0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2019-20,7,629,-,-,161,98,78,-,4,-,-,-,80-230,.258,89.9
2020-21,9,787,-,-,173,80,80,-,5,-,1,2,78-41,.655,87.4
2021-22,9,752,-,-,157,88,78,-,5,-,-,1,128-184,.410,83.6
Totals,25,2168,-,-,157,80,78,-,14,-,1,3,286-455,.386,86.7
