0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2020-21,9,738,-,-,161,81,79,-,5,-,1,4,96-23,.807,82.0
2021-22,12,924,-,-,144,76,70,3,7,1,2,4,323-80,.801,77.0
Totals,21,1662,-,-,144,76,70,3,12,1,3,8,419-103,.803,79.1
