0,1,2,3,4,5
Grinnell College,329,315,644,68,1st
Nina Kouchi,73,74,147,3,1st
Lauren Chen,82,79,161,17,4th
Danielle Oberlander,86,77,163,19,5th
Zoe Robinson,88,85,173,29,10th
Parker Perry#,85,90,175,31,t-11th
Lexi Mueldener#,92,86,178,34,13th
Aubrie Torhorst,91,88,179,35,t-14th
