0,1,2,3,4,5,6,7
Grinnell College,336,332,338,dnc,1006,,
Nina Kouchi,80,72,83,81,316,28.0,t-18th
Lauren Chen,82,82,83,dnc,247,,
Danielle Oberlander,87,89,80,dnc,256,,
Zoe Robinson,87,89,92,dnc,268,,
Lexi Mueldener,91,91,92,dnc,274,,
