0,1,2,3
Grinnell College,318,30,1st
Nina Kouchi,76,4,1st
Danielle Oberlander,78,6,2nd
Aubrie Torhorst,81,9,5th
Lexi Mueldener#,82,10,6th
Lauren Chen,83,11,7th
Parker Perry#,85,13,10th
Zoe Robinson,90,18,11th
