#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
7.0,"Guieb, Riley 7 Guieb, Riley",0.318,0.757,29-29,107,23,34,3,1,0,8,39,0.364,10,4,22,1,0.393,1,2,11-12,View Bio
11.0,"Hager, Jack 11 Hager, Jack",0.308,1.018,30-29,107,22,33,10,7,4,21,69,0.645,9,2,34,1,0.373,0,1,9-11,View Bio
9.0,"Daniel, Noah 9 Daniel, Noah",0.299,0.927,26-24,77,15,23,7,0,3,16,39,0.506,14,3,18,0,0.421,1,1,1-2,View Bio
6.0,"McNitt, Quinton 6 McNitt, Quinton",0.298,0.762,34-34,114,22,34,4,0,0,11,38,0.333,16,10,9,3,0.429,0,4,0-1,View Bio
37.0,"Inaba, Matthew 37 Inaba, Matthew",0.281,0.76,30-30,96,19,27,4,0,0,15,31,0.323,24,4,15,0,0.437,2,4,3-5,View Bio
33.0,"Cabrera, Julian 33 Cabrera, Julian",0.274,0.805,32-31,113,14,31,10,0,4,29,53,0.469,10,2,32,0,0.336,3,0,0-0,View Bio
3.0,"Czajkowski, Kory 3 Czajkowski, Kory",0.224,0.552,33-32,107,18,24,3,0,1,11,30,0.28,5,2,28,2,0.272,0,2,1-3,View Bio
34.0,"Reilly, Vince 34 Reilly, Vince",0.378,0.902,25-22,74,11,28,3,0,1,10,34,0.459,9,2,10,0,0.443,3,0,2-2,View Bio
20.0,"LeSher, Brady 20 LeSher, Brady",0.308,0.876,23-20,65,6,20,6,0,1,10,29,0.446,12,2,13,1,0.43,0,2,1-1,View Bio
5.0,"King, Cooper 5 King, Cooper",0.306,0.764,16-9,36,2,11,3,0,0,5,14,0.389,4,0,7,0,0.375,0,0,0-0,View Bio
4.0,"Gampell, Carson 4 Gampell, Carson",0.273,0.996,11-5,22,4,6,2,0,2,6,14,0.636,2,1,3,0,0.36,0,0,0-0,View Bio
17.0,"Taylor, Zeke 17 Taylor, Zeke",0.2,0.4,3-1,5,0,1,0,0,0,0,1,0.2,0,0,1,0,0.2,0,0,0-0,View Bio
18.0,"Richman, Will 18 Richman, Will",0.179,0.536,15-8,28,7,5,1,1,0,5,8,0.286,3,0,8,0,0.25,1,0,1-1,View Bio
23.0,"Koehler, Chad 23 Koehler, Chad",0.152,0.304,13-10,33,0,5,0,0,0,2,5,0.152,0,0,6,1,0.152,0,0,1-1,View Bio
2.0,"Jones, Zack 2 Jones, Zack",0.143,0.393,14-1,7,4,1,0,0,0,0,1,0.143,1,0,4,0,0.25,0,0,1-1,View Bio
36.0,"Booth, Jared 36 Booth, Jared",0.127,0.379,23-15,55,7,7,0,0,1,8,10,0.182,4,1,18,2,0.197,1,3,1-1,View Bio
27.0,"Rosol, Ryan 27 Rosol, Ryan",0.1,0.2,5-1,10,0,1,0,0,0,1,1,0.1,0,0,1,0,0.1,0,0,0-0,View Bio
41.0,"Gottlieb, Jonathan 41 Gottlieb, Jonathan",0.083,0.643,8-5,12,7,1,1,0,0,2,2,0.167,7,2,8,0,0.476,0,0,0-0,View Bio
10.0,"Weirather, Brock 10 Weirather, Brock",0.0,1.0,9-7,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1.0,0,0,0-0,View Bio
12.0,"Williams, Justin 12 Williams, Justin",0.0,1.0,2-0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,1.0,0,0,0-0,View Bio
25.0,"Dudley, Joe 25 Dudley, Joe",0.0,0.0,9-0,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
,Totals,0.273,0.76,34-34,1068,184,292,57,9,17,160,418,0.391,133,35,237,11,0.369,12,19,32-41,
,Opponents,0.356,0.92,34-34,1149,282,409,73,18,15,263,563,0.49,129,36,190,17,0.43,21,21,50-61,
