Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
3/9/2019,vs,Buena Vista,L,8-16,11.0,20,16,14,3,12,6,0,2,0,0,1,0,0,1,0,11.45
3/9/2019,vs,Buena Vista,W,18-8,7.0,12,8,2,4,6,1,0,1,0,0,0,0,1,1,0,2.57
3/10/2019,vs,Buena Vista,L,1-11,6.0,14,11,7,2,8,2,0,1,0,0,1,0,1,2,0,10.5
3/10/2019,vs,Buena Vista,W,14-10,7.0,14,10,6,2,8,4,1,0,2,0,1,0,2,2,0,7.71
3/16/2019,at,Hendrix,L,2-3,8.0,10,3,3,0,5,1,0,0,0,0,1,0,2,3,0,3.38
3/17/2019,at,Hendrix,L,0-5,6.0,7,5,4,6,2,2,0,0,0,0,1,0,2,4,0,6.0
3/17/2019,at,Hendrix,L,0-8,6.0,12,8,7,5,3,2,0,0,0,0,1,1,2,5,0,10.5
3/19/2019,vs,Wesleyan (Conn.),W,10-4,7.0,11,4,3,2,6,1,0,0,2,0,1,0,3,5,0,3.86
3/19/2019,vs,Wesleyan (Conn.),L,5-9,6.0,11,9,9,6,2,3,1,0,0,0,0,0,3,6,0,13.5
3/20/2019,vs,Augsburg College,L,1-14,7.0,10,14,13,6,4,1,2,0,0,0,4,0,3,7,0,16.71
3/21/2019,vs,Allegheny College,L,2-22,7.0,23,22,20,4,6,4,0,0,2,0,1,0,3,8,0,25.71
3/21/2019,vs,Allegheny College,W,8-6,7.0,8,6,6,8,2,2,2,0,1,0,1,0,4,8,1,7.71
3/23/2019,vs,Macalester College,W,6-4,7.0,12,4,3,4,5,2,0,0,0,0,0,1,5,8,0,3.86
3/23/2019,vs,Macalester College,L,0-7,7.0,9,7,7,5,5,2,1,0,1,0,3,0,5,9,0,9.0
3/24/2019,vs,Oberlin College,W,7-2,7.0,9,2,2,0,5,0,0,0,0,0,0,0,6,9,0,2.57
3/24/2019,vs,Oberlin College,L,5-13,6.0,11,13,13,6,6,3,1,0,2,1,2,0,6,10,0,19.5
3/28/2019,at,Cornell College,W,7-6,9.0,14,6,4,3,5,3,0,1,1,0,3,0,7,10,0,4.0
3/28/2019,at,Cornell College,W,14-8,9.0,16,8,7,1,5,2,1,0,1,0,0,0,8,10,0,7.0
3/31/2019,,Cornell College,W,12-4,9.0,8,4,4,3,3,1,0,2,1,0,0,0,9,10,0,4.0
3/31/2019,,Cornell College,L,1-5,9.0,7,5,4,8,15,2,0,0,0,0,1,0,9,11,0,4.0
4/6/2019,at,Knox College,L,2-13,7.0,17,13,13,4,12,1,1,4,0,1,1,0,9,12,0,16.71
4/6/2019,at,Knox College,W,5-3,9.0,9,3,2,0,12,2,0,0,1,0,0,0,10,12,1,2.0
4/7/2019,,Knox,W,11-1,7.0,6,1,1,1,2,0,0,0,0,0,0,0,11,12,0,1.29
4/7/2019,,Knox,L,1-2,9.0,6,2,2,4,9,1,0,0,0,0,1,0,11,13,0,2.0
4/13/2019,at,Chicago,L,5-12,8.0,17,12,12,2,1,2,2,0,2,1,1,0,11,14,0,13.5
4/13/2019,at,Chicago,L,1-20,6.0,17,20,20,6,2,3,2,1,3,0,2,0,11,15,0,30.0
4/27/2019,,Illinois College,L,2-12,7.0,14,12,12,3,3,5,2,0,0,0,2,0,11,16,0,15.43
4/27/2019,at,Illinois College,L,2-13,9.0,17,13,7,6,8,4,0,2,2,0,1,1,11,17,0,7.0
4/28/2019,at,Illinois College,W,4-3,9.0,9,3,3,0,4,4,0,0,0,0,0,0,12,17,0,3.0
4/28/2019,at,Illinois College,L,5-11,8.0,14,11,8,9,5,1,1,0,1,0,1,1,12,18,0,9.0
5/4/2019,,Monmouth (Ill.),L,0-7,9.0,14,7,7,1,10,0,1,1,0,0,1,0,12,19,0,7.0
5/4/2019,,Monmouth (Ill.),W,7-6,9.0,11,6,6,4,3,2,0,0,2,1,1,0,13,19,1,6.0
5/5/2019,at,Monmouth College,L,3-5,8.0,8,5,5,3,4,2,0,0,1,0,2,0,13,20,0,5.63
5/5/2019,at,Monmouth College,W,15-9,9.0,12,9,5,8,2,2,0,0,1,0,1,0,14,20,0,5.0
Total,,,,184-282,262.0,409,282,241,129,190,73,18,15,26,4,36,4,14,20,3,
