#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
4.0,"Gampell, Carson 4 Gampell, Carson",19,19,0,0,1.0,1,0,0,0,0,View Bio
29.0,"LaMotte, Sam 29 LaMotte, Sam",17,4,13,0,1.0,0,5,2,0,0,View Bio
22.0,"Lubelfeld, Daniel 22 Lubelfeld, Daniel",6,0,6,0,1.0,1,4,1,0,0,View Bio
28.0,"Rick, Thompson 28 Rick, Thompson",6,2,4,0,1.0,0,6,2,0,0,View Bio
27.0,"Rosol, Ryan 27 Rosol, Ryan",5,4,1,0,1.0,0,0,0,0,0,View Bio
19.0,"Pine, Ezra 19 Pine, Ezra",3,1,2,0,1.0,0,3,0,0,0,View Bio
31.0,"Jack, Ryan 31 Jack, Ryan",3,0,3,0,1.0,0,2,0,0,0,View Bio
32.0,"Shubert, Gabriel 32 Shubert, Gabriel",3,1,2,0,1.0,1,0,0,0,0,View Bio
44.0,"Morsch, Jacob 44 Morsch, Jacob",3,2,1,0,1.0,0,8,3,0,0,View Bio
45.0,"Lu, Nate 45 Lu, Nate",3,1,2,0,1.0,0,5,0,0,0,View Bio
21.0,"Asawa, Alex 21 Asawa, Alex",2,0,2,0,1.0,0,1,0,0,0,View Bio
13.0,"Chang, Ryan 13 Chang, Ryan",1,0,1,0,1.0,0,5,0,0,0,View Bio
17.0,"Taylor, Zeke 17 Taylor, Zeke",1,1,0,0,1.0,0,0,0,0,0,View Bio
9.0,"Daniel, Noah 9 Daniel, Noah",146,131,14,1,0.993,2,28,8,0,0,View Bio
34.0,"Reilly, Vince 34 Reilly, Vince",170,154,14,2,0.988,15,0,0,0,0,View Bio
11.0,"Hager, Jack 11 Hager, Jack",53,50,2,1,0.981,0,0,0,0,0,View Bio
6.0,"McNitt, Quinton 6 McNitt, Quinton",172,114,54,4,0.977,12,0,0,0,0,View Bio
23.0,"Koehler, Chad 23 Koehler, Chad",76,69,5,2,0.974,0,22,1,0,0,View Bio
37.0,"Inaba, Matthew 37 Inaba, Matthew",70,65,3,2,0.971,0,0,0,0,0,View Bio
7.0,"Guieb, Riley 7 Guieb, Riley",54,42,10,2,0.963,1,0,0,0,0,View Bio
10.0,"Weirather, Brock 10 Weirather, Brock",21,5,15,1,0.952,0,1,0,0,0,View Bio
18.0,"Richman, Will 18 Richman, Will",14,11,2,1,0.929,0,2,0,0,0,View Bio
3.0,"Czajkowski, Kory 3 Czajkowski, Kory",130,44,76,10,0.923,8,0,0,0,0,View Bio
20.0,"LeSher, Brady 20 LeSher, Brady",68,17,44,7,0.897,5,0,0,0,0,View Bio
2.0,"Jones, Zack 2 Jones, Zack",17,7,8,2,0.882,0,0,0,0,0,View Bio
5.0,"King, Cooper 5 King, Cooper",24,21,0,3,0.875,0,0,0,0,0,View Bio
36.0,"Booth, Jared 36 Booth, Jared",55,10,36,9,0.836,2,0,0,0,0,View Bio
41.0,"Gottlieb, Jonathan 41 Gottlieb, Jonathan",25,10,10,5,0.8,2,0,0,0,0,View Bio
15.0,"Carr, Charles 15 Carr, Charles",10,1,7,2,0.8,0,4,2,0,0,View Bio
12.0,"Williams, Justin 12 Williams, Justin",0,0,0,0,0.0,0,0,0,0,0,View Bio
16.0,"Bartusek, Seth 16 Bartusek, Seth",0,0,0,0,0.0,0,1,1,0,0,View Bio
25.0,"Dudley, Joe 25 Dudley, Joe",0,0,0,0,0.0,0,1,0,0,0,View Bio
33.0,"Cabrera, Julian 33 Cabrera, Julian",0,0,0,0,0.0,0,0,0,0,0,View Bio
40.0,"Moeller, Ryan 40 Moeller, Ryan",0,0,0,0,0.0,0,2,0,0,0,View Bio
8.0,"Lavery, Alex 8 Lavery, Alex",0,0,0,0,0.0,0,0,0,0,0,View Bio
,Totals,1177,786,337,54,0.954,19,100,20,0,0,
,Opponents,1143,803,292,48,0.958,17,64,17,9,0,
