Player,2,3,4,5+,Total
"Guieb, Riley",8,4,-,-,12
"Reilly, Vince",9,1,-,-,10
"McNitt, Quinton",5,4,-,-,9
"Hager, Jack",6,3,-,-,9
"Cabrera, Julian",9,-,-,-,9
"Czajkowski, Kory",6,1,-,-,7
"Inaba, Matthew",6,1,-,-,7
"LeSher, Brady",3,3,-,-,6
"Daniel, Noah",3,1,-,-,4
"King, Cooper",3,-,-,-,3
"Gampell, Carson",1,-,-,-,1
"Koehler, Chad",1,-,-,-,1
"Booth, Jared",1,-,-,-,1
TEAM,61,18,0,0,79
