Statistic,High,Player,Opponent
AT BATS,6,Matthew Inaba; Kory Czajkowski,Buena Vista (3/9/2019); Cornell College (3/31/2019); Monmouth College (5/5/2019)
RUNS SCORED,4,Quinton McNitt; Riley Guieb,Buena Vista (3/9/2019); Monmouth College (5/5/2019)
HITS,3,Quinton McNitt; Kory Czajkowski; Jack Hager; Riley Guieb,Buena Vista (3/9/2019); Buena Vista (3/9/2019); Oberlin College (3/24/2019); Cornell College (3/31/2019); Knox (4/7/2019)
RBIS,4,Jared Booth; Kory Czajkowski; Julian Cabrera,Buena Vista (3/9/2019); Allegheny College (3/21/2019); Cornell College (3/28/2019)
DOUBLES,2,Jack Hager; Julian Cabrera,Oberlin College (3/24/2019); Cornell College (3/28/2019); Monmouth College (5/5/2019)
TRIPLES,1,Jack Hager; Will Richman; Riley Guieb,Buena Vista (3/9/2019); Buena Vista (3/9/2019); Wesleyan (Conn.) (3/19/2019); Cornell College (3/31/2019); Knox (4/7/2019)
HOME RUNS,1,Julian Cabrera; Noah Daniel; Brady LeSher; Jack Hager,Buena Vista (3/9/2019); Cornell College (3/31/2019); Knox (4/7/2019); Illinois College (4/27/2019); Illinois College (4/27/2019)
WALKS,3,Noah Daniel; Matthew Inaba; Jonathan Gottlieb; J. Hager; Quinton McNitt,Oberlin College (3/24/2019); Cornell College (3/31/2019); Buena Vista (3/10/2019); Chicago (4/13/2019); Illinois College (4/28/2019)
STRIKEOUTS,4,Jack Hager,Knox (4/7/2019)
SAC HITS,1,Jared Booth; Matthew Inaba; Quinton McNitt; Noah Daniel,Buena Vista (3/9/2019); Wesleyan (Conn.) (3/19/2019); Oberlin College (3/24/2019); Cornell College (3/31/2019); Knox (4/7/2019)
SAC FLIES,1,Julian Cabrera; Matthew Inaba; Vince Reilly; Jared Booth,Buena Vista (3/9/2019); Wesleyan (Conn.) (3/19/2019); Oberlin College (3/24/2019); Knox (4/7/2019); Buena Vista (3/10/2019)
STOLEN BASES,3,Riley Guieb,Cornell College (3/31/2019)
HIT BY PITCH,3,Quinton McNitt,Buena Vista (3/9/2019)
CAUGHT STEALING,1,Riley Guieb; Noah Daniel; Matthew Inaba; Kory Czajkowski; Jack Hager,Allegheny College (3/21/2019); Oberlin College (3/24/2019); Hendrix (3/16/2019); Hendrix (3/17/2019); Allegheny College (3/21/2019)
HIT INTO DP,1,Chad Koehler; Quinton McNitt; V. Reilly; Vince Reilly,Allegheny College (3/21/2019); Macalester College (3/23/2019); Cornell College (3/31/2019); Cornell College (3/31/2019); Knox (4/7/2019)
