Player,2,3,4,5+,Total
"Cabrera, Julian",2,5,1,-,8
"Daniel, Noah",5,-,-,-,5
"Hager, Jack",2,2,1,-,5
"LeSher, Brady",4,-,-,-,4
"McNitt, Quinton",3,-,-,-,3
"Inaba, Matthew",2,1,-,-,3
"Czajkowski, Kory",1,-,1,-,2
"Gampell, Carson",1,1,-,-,2
"Guieb, Riley",2,-,-,-,2
"Reilly, Vince",1,1,-,-,2
"Booth, Jared",1,-,1,-,2
"King, Cooper",-,1,-,-,1
"Richman, Will",-,1,-,-,1
TEAM,24,12,4,0,40
